entry_idx,entry_price,exit_idx,exit_price,reason
14,505.525,15,502.065,trailingTP
30,503.9,31,504.67,trailingTP
56,509.76,57,511.25,trailingTP
68,511.55,69,510.0,trailingTP
88,505.175,89,505.27,trailingTP
112,515.41,113,513.125,trailingTP
126,536.22,127,535.11,trailingTP
140,536.17,141,534.65,trailingTP
168,523.18,169,520.92,trailingTP
182,524.56,183,524.945,trailingTP
206,525.055,207,525.84,trailingTP
239,509.865,240,507.37,trailingTP
258,502.05,259,500.21,trailingTP
286,505.18,287,504.65,trailingTP
309,498.905,310,500.16,trailingTP
366,511.19,367,508.155,trailingTP
402,509.79,403,508.58,trailingTP
432,516.955,433,517.66,trailingTP
443,518.85,444,519.77,trailingTP
464,525.7,465,524.43,trailingTP
477,522.39,478,522.6,trailingTP
496,513.215,497,514.455,trailingTP
520,514.34,521,513.655,trailingTP
534,517.12,535,517.62,trailingTP
544,522.73,545,522.52,trailingTP
557,531.75,558,532.78,trailingTP
577,542.425,578,525.73,sellSignal
595,522.42,596,519.96,trailingTP
634,503.28,635,502.27,trailingTP
652,508.73,653,510.41,trailingTP
663,506.855,664,510.46,trailingTP
691,492.68,692,493.02,trailingTP
720,475.7,721,476.91,trailingTP
