entry_idx,entry_price,exit_idx,exit_price,reason
7,121.57,8,122.71,trailingTP
22,123.58,23,122.615,sellSignal
32,123.85,33,123.61,trailingTP
69,113.82,70,114.06,trailingTP
92,109.735,93,109.89,trailingTP
119,112.025,120,112.645,trailingTP
150,106.64,151,107.01,trailingTP
171,113.31,172,111.555,trailingTP
193,124.67,194,124.465,trailingTP
223,122.78,224,122.28,trailingTP
243,117.23,244,115.98,trailingTP
275,118.01,276,118.23,trailingTP
300,117.37,301,117.675,trailingTP
353,154.84,354,155.5,trailingTP
392,163.58,393,163.25,trailingTP
425,158.67,426,157.255,trailingTP
433,164.71,434,165.03,trailingTP
468,196.355,469,193.12,trailingTP
482,192.81,483,194.26,trailingTP
503,190.34,504,189.89,trailingTP
515,191.83,516,191.28,trailingTP
526,196.64,527,204.34,trailingTP
539,202.32,540,202.22,trailingTP
556,204.37,557,198.59,trailingTP
562,198.51,563,204.45,trailingTP
587,219.46,588,221.315,trailingTP
608,229.2,609,222.47,sellSignal
614,233.645,615,235.16,trailingTP
628,233.45,629,237.08,trailingTP
648,237.9,649,239.29,trailingTP
681,248.83,682,253.615,trailingTP
688,258.13,689,251.455,trailingTP
724,222.0,725,221.52,trailingTP
737,225.62,738,224.84,trailingTP
