entry_idx,entry_price,exit_idx,exit_price,reason
7,19.825,8,19.695,trailingTP
36,22.305,37,22.1,trailingTP
57,21.33,58,21.5,trailingTP
70,22.735,71,22.51,trailingTP
82,22.73,83,22.95,trailingTP
103,23.43,104,23.6,trailingTP
145,21.72,146,21.68,trailingTP
154,22.025,155,21.45,sellSignal
158,22.91,159,22.94,trailingTP
167,22.945,168,24.31,trailingTP
183,24.595,184,24.215,trailingTP
205,25.46,206,25.46,trailingTP
211,25.54,212,25.68,trailingTP
228,24.47,229,24.24,trailingTP
235,24.56,236,24.43,trailingTP
252,25.065,253,24.66,trailingTP
279,24.59,280,24.72,trailingTP
286,25.04,287,25.18,trailingTP
297,24.9,298,25.06,trailingTP
316,25.65,317,26.05,trailingTP
334,26.59,335,26.34,trailingTP
349,24.345,350,24.17,trailingTP
362,25.6,363,25.64,trailingTP
389,27.11,390,27.0,trailingTP
403,26.725,404,27.2,trailingTP
420,27.975,421,28.165,trailingTP
444,33.75,445,33.46,trailingTP
460,33.28,461,32.83,trailingTP
488,38.0,489,38.685,trailingTP
512,36.38,513,36.61,trailingTP
535,36.005,536,35.82,trailingTP
551,36.26,552,36.35,trailingTP
570,36.72,571,37.15,trailingTP
590,37.45,591,37.525,trailingTP
597,37.47,598,39.99,trailingTP
616,37.65,617,36.77,trailingTP
646,38.61,647,39.23,trailingTP
674,39.87,675,40.24,trailingTP
688,38.91,689,39.69,trailingTP
