entry_idx,entry_price,exit_idx,exit_price,reason
37,49.54,38,49.375,trailingTP
59,53.79,60,53.8,trailingTP
74,53.04,75,55.7,trailingTP
94,51.85,95,51.86,trailingTP
115,52.055,116,52.39,trailingTP
129,52.465,130,50.61,trailingTP
149,53.16,150,53.14,trailingTP
172,62.59,178,65.62,trailingTP
196,74.46,197,73.825,trailingTP
218,71.11,219,70.655,trailingTP
230,72.54,231,70.13,sellSignal
242,66.02,243,66.01,trailingTP
253,68.605,254,69.05,trailingTP
282,72.225,283,72.055,trailingTP
296,67.26,297,65.05,trailingTP
328,65.6,329,65.91,trailingTP
334,98.46,335,88.91,sellSignal
337,91.86,338,94.755,trailingTP
363,90.42,364,91.96,trailingTP
378,92.5,379,90.51,trailingTP
396,97.97,397,98.95,trailingTP
432,107.47,433,107.68,trailingTP
454,115.73,455,121.58,trailingTP
469,132.885,470,131.66,trailingTP
486,122.36,487,122.57,trailingTP
505,135.995,506,133.77,trailingTP
563,104.51,564,105.66,trailingTP
600,125.085,601,121.19,trailingTP
632,115.47,633,116.48,trailingTP
652,110.44,653,111.18,trailingTP
689,88.28,690,87.58,trailingTP
706,88.075,707,91.84,trailingTP
730,87.535,731,79.675,sellSignal
738,89.71,739,89.965,trailingTP
753,92.68,754,93.9,trailingTP
