entry_idx,entry_price,exit_idx,exit_price,reason
2,16.635,3,16.565,trailingTP
54,30.805,55,29.53,trailingTP
75,29.21,76,31.425,trailingTP
84,32.135,85,31.05,trailingTP
105,43.23,106,45.31,trailingTP
116,50.75,117,47.76,trailingTP
120,52.17,121,58.76,trailingTP
133,66.485,134,56.83,sellSignal
140,61.87,141,61.3,trailingTP
156,60.14,157,58.98,trailingTP
170,73.34,171,69.645,trailingTP
193,98.43,194,102.75,trailingTP
209,97.165,210,102.975,trailingTP
279,36.84,280,35.82,trailingTP
313,40.31,314,40.865,trailingTP
320,40.775,321,38.38,trailingTP
332,43.52,333,44.2,trailingTP
378,46.48,379,45.66,trailingTP
383,43.505,384,44.19,trailingTP
405,41.725,406,40.965,trailingTP
420,46.05,421,46.49,trailingTP
425,47.37,426,46.7,trailingTP
439,50.93,440,48.75,sellSignal
445,50.69,446,51.07,trailingTP
455,47.22,456,48.85,trailingTP
460,51.72,461,50.92,trailingTP
463,50.55,464,49.15,trailingTP
466,47.99,467,45.985,trailingTP
475,47.4,477,50.47,sellSignal
478,52.43,479,50.77,trailingTP
491,45.95,492,47.41,trailingTP
502,64.5,503,65.87,trailingTP
513,66.155,514,69.45,trailingTP
535,80.99,536,81.7,trailingTP
541,76.705,542,77.53,trailingTP
552,89.4,553,87.81,trailingTP
557,94.22,558,92.67,trailingTP
565,92.52,566,76.605,sellSignal
580,63.0,581,60.565,trailingTP
583,67.44,584,72.51,trailingTP
