entry_idx,entry_price,exit_idx,exit_price,reason
6,60.16,7,58.96,sellSignal
11,58.09,12,57.93,trailingTP
47,57.07,48,57.35,trailingTP
62,57.9,63,57.99,trailingTP
79,61.285,80,61.38,trailingTP
93,61.5,94,61.03,trailingTP
142,64.54,143,64.535,trailingTP
207,68.92,208,69.285,trailingTP
227,68.34,228,68.375,trailingTP
269,72.865,270,72.84,trailingTP
304,76.5,305,76.39,trailingTP
325,77.41,326,77.54,trailingTP
352,79.355,353,79.21,trailingTP
356,79.04,357,79.5,trailingTP
374,80.75,375,81.11,trailingTP
410,84.38,411,85.17,trailingTP
430,85.815,431,85.96,trailingTP
441,85.73,442,86.17,trailingTP
465,88.21,466,88.68,trailingTP
479,85.68,480,85.305,trailingTP
522,93.45,523,93.38,trailingTP
543,87.0,544,88.03,trailingTP
553,85.22,554,85.46,trailingTP
567,78.52,568,78.5,trailingTP
582,82.095,583,81.61,trailingTP
595,81.925,596,81.18,trailingTP
609,80.92,610,81.18,trailingTP
629,83.42,630,83.39,trailingTP
645,89.495,646,89.935,trailingTP
683,88.03,684,88.835,trailingTP
705,85.59,706,85.96,trailingTP
720,88.35,721,89.015,trailingTP
