entry_idx,entry_price,exit_idx,exit_price,reason
7,3.73,8,3.85,trailingTP
26,3.565,27,3.5,trailingTP
54,3.995,55,4.005,trailingTP
82,4.19,83,4.07,trailingTP
91,4.17,92,3.885,sellSignal
95,4.14,96,4.145,trailingTP
106,3.975,107,3.905,trailingTP
135,2.915,136,2.855,trailingTP
162,3.185,163,3.045,trailingTP
188,2.425,189,2.43,trailingTP
196,2.53,197,2.355,trailingTP
219,2.335,220,2.295,trailingTP
234,2.355,235,2.295,trailingTP
258,2.58,259,2.56,trailingTP
275,2.64,276,2.6,trailingTP
298,2.385,299,2.33,trailingTP
319,1.64,320,1.55,trailingTP
347,1.42,348,1.395,trailingTP
361,1.915,362,2.0,trailingTP
375,2.49,376,2.495,trailingTP
391,2.65,392,2.76,trailingTP
408,2.68,409,2.63,trailingTP
434,2.135,435,2.08,trailingTP
455,2.185,456,2.155,trailingTP
480,2.37,481,2.37,trailingTP
497,2.13,498,2.12,trailingTP
516,1.925,517,1.92,trailingTP
541,1.795,542,1.855,trailingTP
565,1.795,566,1.78,trailingTP
614,1.295,615,1.33,trailingTP
623,1.71,624,1.465,trailingTP
668,1.225,669,1.21,trailingTP
682,1.18,683,1.195,trailingTP
701,1.1,702,1.15,trailingTP
706,1.135,707,1.135,trailingTP
717,1.22,718,1.305,trailingTP
739,1.225,740,1.165,trailingTP
756,1.215,757,1.18,trailingTP
