entry_idx,entry_price,exit_idx,exit_price,reason
19,1281.765,20,1287.9,trailingTP
35,1256.51,36,1263.18,trailingTP
60,1267.52,61,1270.77,trailingTP
72,1221.65,73,1224.39,trailingTP
96,1177.67,97,1180.69,trailingTP
119,1175.41,120,1173.15,trailingTP
140,1173.51,141,1164.2,trailingTP
154,1162.6,155,1157.65,trailingTP
185,1227.47,186,1225.715,trailingTP
196,1223.05,197,1232.71,trailingTP
206,1241.185,207,1237.16,trailingTP
232,1216.115,233,1204.1,trailingTP
245,1219.75,246,1228.67,trailingTP
267,1224.69,268,1226.145,trailingTP
284,1212.85,285,1213.65,trailingTP
316,1253.03,317,1259.355,trailingTP
345,1199.41,346,1203.43,trailingTP
373,1220.7,374,1224.445,trailingTP
400,1213.05,401,1209.3,trailingTP
426,1198.63,427,1168.73,sellSignal
436,1158.79,437,1156.92,trailingTP
453,1160.71,454,1163.37,trailingTP
493,1222.15,494,1218.745,trailingTP
512,1191.28,513,1193.765,trailingTP
562,1115.26,563,1104.62,trailingTP
583,1104.99,584,1122.99,trailingTP
611,1094.92,612,1093.145,trailingTP
626,1102.05,627,1103.55,trailingTP
718,107.075,719,106.58,trailingTP
729,106.035,730,106.43,trailingTP
