entry_idx,entry_price,exit_idx,exit_price,reason
1,4.37,2,4.345,trailingTP
7,4.31,8,4.33,trailingTP
22,4.33,23,4.32,trailingTP
29,4.35,30,4.335,trailingTP
35,4.335,36,4.29,trailingTP
42,4.35,43,4.305,sellSignal
52,4.34,53,4.33,trailingTP
64,4.32,65,4.29,trailingTP
70,4.29,71,4.285,trailingTP
93,4.375,94,4.37,trailingTP
110,4.28,111,4.21,trailingTP
128,4.255,129,4.265,trailingTP
137,4.2,138,4.15,sellSignal
143,4.175,144,4.15,trailingTP
151,4.1,152,4.08,trailingTP
163,4.4,164,4.29,sellSignal
168,4.42,169,4.43,trailingTP
191,4.97,192,4.92,trailingTP
240,5.01,241,5.02,trailingTP
259,5.18,260,5.3,trailingTP
267,5.465,268,5.46,trailingTP
275,5.53,276,5.55,trailingTP
287,5.68,288,5.805,trailingTP
302,5.915,303,5.895,trailingTP
307,5.895,308,5.99,trailingTP
317,5.975,318,5.95,trailingTP
336,5.86,337,5.84,trailingTP
343,6.09,344,6.18,trailingTP
357,6.93,358,7.03,trailingTP
363,6.98,364,6.93,trailingTP
378,6.44,379,6.41,trailingTP
420,6.04,421,6.09,trailingTP
432,5.94,434,6.055,trailingTP
442,6.075,443,6.095,trailingTP
461,6.17,462,6.16,trailingTP
470,6.225,471,6.27,trailingTP
480,6.21,481,6.2,trailingTP
490,6.37,491,6.29,sellSignal
502,6.2,503,6.06,trailingTP
516,6.295,517,6.3,trailingTP
532,6.47,533,6.33,sellSignal
540,6.37,541,6.31,trailingTP
561,6.5,562,6.46,trailingTP
573,6.45,574,6.5,trailingTP
586,6.8,629,9.95,sellSignal
636,9.77,637,9.72,trailingTP
648,9.775,649,9.695,trailingTP
690,9.74,691,9.785,trailingTP
