entry_idx,entry_price,exit_idx,exit_price,reason
3,4.55,4,4.52,trailingTP
15,4.47,16,4.51,trailingTP
70,5.59,71,5.605,trailingTP
120,5.355,121,5.3,trailingTP
129,5.23,130,5.21,trailingTP
147,5.64,148,5.62,trailingTP
160,5.765,161,5.79,trailingTP
168,5.79,169,5.78,trailingTP
233,5.985,234,5.955,trailingTP
239,6.04,240,5.965,trailingTP
252,6.55,253,6.565,trailingTP
263,6.58,264,6.555,trailingTP
273,6.68,274,6.695,trailingTP
300,6.75,301,6.77,trailingTP
315,6.83,316,6.68,trailingTP
329,6.735,330,6.87,trailingTP
369,7.195,370,7.27,trailingTP
399,7.82,400,7.91,trailingTP
441,10.01,442,10.325,trailingTP
461,10.035,462,10.08,trailingTP
483,10.155,484,9.94,trailingTP
497,10.435,498,10.475,trailingTP
518,9.78,519,9.855,trailingTP
533,8.68,534,8.45,trailingTP
563,8.2,564,8.195,trailingTP
578,8.265,579,8.23,trailingTP
587,8.24,588,8.27,trailingTP
610,8.225,611,8.1,trailingTP
617,8.28,618,8.13,trailingTP
639,8.67,640,8.69,trailingTP
659,8.84,660,8.725,trailingTP
668,8.76,669,8.76,trailingTP
694,8.555,695,8.58,trailingTP
