entry_idx,entry_price,exit_idx,exit_price,reason
11,158.97,12,158.92,trailingTP
25,163.15,26,162.83,trailingTP
32,162.01,33,161.87,trailingTP
70,142.44,71,142.21,trailingTP
91,139.615,92,139.07,trailingTP
97,141.13,98,141.225,trailingTP
109,140.84,110,140.49,trailingTP
113,137.855,114,137.295,trailingTP
122,139.16,123,139.77,trailingTP
142,135.76,143,136.61,trailingTP
160,138.15,161,139.86,trailingTP
167,141.095,173,153.82,sellSignal
180,157.26,181,157.09,trailingTP
202,158.4,203,158.9,trailingTP
218,162.8,219,161.72,trailingTP
228,159.81,229,159.84,trailingTP
239,165.815,240,165.22,trailingTP
255,164.405,256,164.6,trailingTP
266,164.68,267,166.26,trailingTP
279,168.2,280,168.12,trailingTP
284,168.44,285,168.07,trailingTP
293,167.57,294,168.225,trailingTP
305,168.7,306,168.185,trailingTP
313,167.87,314,167.44,trailingTP
329,172.21,330,172.075,trailingTP
346,172.165,347,172.29,trailingTP
364,178.05,365,178.34,trailingTP
413,163.76,414,164.1,trailingTP
431,161.91,432,162.545,trailingTP
441,162.43,442,166.8,trailingTP
463,171.12,464,172.65,trailingTP
483,173.735,484,173.03,trailingTP
499,179.3,500,180.415,trailingTP
538,188.05,539,190.285,trailingTP
567,192.44,568,193.0,trailingTP
574,196.88,575,197.02,trailingTP
582,197.66,583,197.89,trailingTP
595,200.09,596,202.005,trailingTP
604,200.71,605,200.21,trailingTP
614,200.11,615,198.25,trailingTP
618,195.475,619,198.39,trailingTP
638,210.93,639,209.34,trailingTP
653,203.33,654,203.76,trailingTP
