entry_idx,entry_price,exit_idx,exit_price,reason
1,43.3,2,43.01,trailingTP
5,43.6,6,43.67,trailingTP
21,38.02,22,37.35,trailingTP
25,39.16,26,39.26,trailingTP
38,43.36,39,46.88,trailingTP
53,53.35,54,49.68,sellSignal
62,51.44,63,50.71,trailingTP
68,55.17,69,56.19,trailingTP
87,58.22,88,64.07,trailingTP
104,67.435,105,73.09,trailingTP
114,62.835,115,66.54,trailingTP
131,79.18,132,82.01,trailingTP
142,74.38,143,74.33,trailingTP
156,76.485,157,80.82,trailingTP
166,81.88,167,86.22,trailingTP
179,94.36,180,97.08,trailingTP
199,139.13,200,146.24,trailingTP
204,147.74,205,151.99,trailingTP
215,165.52,216,161.7,trailingTP
234,133.89,235,148.06,trailingTP
245,152.865,246,152.55,trailingTP
