entry_idx,entry_price,exit_idx,exit_price,reason
9,159.31,10,158.8,trailingTP
30,164.02,31,163.755,trailingTP
49,172.3,50,169.6,sellSignal
65,172.77,66,173.175,trailingTP
100,169.365,101,169.55,trailingTP
139,177.59,140,178.89,trailingTP
164,177.06,165,177.605,trailingTP
182,179.025,183,177.93,trailingTP
195,181.65,196,182.12,trailingTP
225,181.86,226,181.55,trailingTP
243,182.13,244,181.43,trailingTP
265,175.41,266,174.33,trailingTP
276,177.47,277,177.79,trailingTP
324,171.59,325,169.53,trailingTP
346,171.66,347,171.6,trailingTP
357,170.265,358,169.88,trailingTP
371,170.75,372,173.86,trailingTP
400,177.85,401,177.685,trailingTP
417,171.05,418,169.71,trailingTP
440,183.725,441,183.08,trailingTP
462,177.83,463,179.905,trailingTP
475,178.19,476,178.23,trailingTP
500,189.82,501,189.28,trailingTP
525,188.785,526,187.83,trailingTP
533,188.625,534,188.65,trailingTP
573,184.65,574,182.18,sellSignal
581,182.49,582,181.7,trailingTP
615,182.65,616,180.7,trailingTP
623,181.355,624,182.295,trailingTP
673,206.475,674,203.79,trailingTP
698,202.56,699,202.04,trailingTP
718,184.49,719,187.095,trailingTP
740,195.68,741,192.7,sellSignal
759,186.945,760,188.56,trailingTP
783,184.01,784,187.58,trailingTP
817,182.835,818,182.24,trailingTP
824,176.065,825,175.17,trailingTP
