entry_idx,entry_price,exit_idx,exit_price,reason
22,15.18,23,15.2,trailingTP
40,15.405,41,15.44,trailingTP
53,15.205,54,15.5,trailingTP
67,15.89,68,15.91,trailingTP
106,16.18,107,16.27,trailingTP
130,15.51,131,15.54,trailingTP
159,15.77,160,15.85,trailingTP
165,15.85,166,15.59,sellSignal
172,15.93,173,15.92,trailingTP
180,15.78,181,15.69,trailingTP
194,15.68,195,15.67,trailingTP
212,15.545,213,15.56,trailingTP
224,16.12,225,16.18,trailingTP
238,16.45,239,16.35,trailingTP
265,16.02,266,16.08,trailingTP
279,16.1,280,16.03,trailingTP
299,16.655,300,16.65,trailingTP
316,16.55,317,16.595,trailingTP
324,16.72,325,16.87,trailingTP
338,16.79,339,16.69,sellSignal
340,16.77,341,16.85,trailingTP
349,16.52,350,16.51,trailingTP
357,16.69,358,16.755,trailingTP
365,16.6,366,16.43,sellSignal
371,16.58,372,16.415,sellSignal
401,15.48,402,15.33,sellSignal
406,15.345,407,15.305,trailingTP
412,15.625,413,15.69,trailingTP
437,14.9,438,14.8,trailingTP
444,14.825,445,14.695,trailingTP
459,14.465,460,14.45,trailingTP
478,14.925,479,14.98,trailingTP
483,15.205,484,15.225,trailingTP
496,15.23,497,15.32,trailingTP
501,15.37,502,15.67,trailingTP
515,15.805,516,15.84,trailingTP
544,16.35,545,16.355,trailingTP
552,16.46,553,16.365,trailingTP
561,16.36,563,16.51,sellSignal
564,16.72,565,16.665,trailingTP
567,16.78,568,16.93,trailingTP
584,17.425,585,17.405,trailingTP
602,17.59,603,17.645,trailingTP
615,17.73,616,17.73,trailingTP
627,17.84,628,17.78,trailingTP
633,17.885,634,17.8,trailingTP
647,17.74,648,17.87,trailingTP
657,17.965,658,17.91,trailingTP
667,18.145,668,17.985,trailingTP
