entry_idx,entry_price,exit_idx,exit_price,reason
9,6.41,10,6.405,trailingTP
21,6.51,22,6.475,trailingTP
46,6.155,47,6.22,trailingTP
63,6.35,64,6.23,trailingTP
90,8.61,91,8.36,trailingTP
104,9.13,105,8.98,trailingTP
135,7.63,136,7.52,trailingTP
144,7.49,145,7.865,trailingTP
159,7.14,160,6.9,trailingTP
175,6.855,176,6.63,trailingTP
202,6.81,203,6.895,trailingTP
220,7.15,221,7.24,trailingTP
262,6.51,263,6.46,trailingTP
308,5.83,309,5.735,trailingTP
339,5.71,340,5.67,trailingTP
363,6.13,364,6.05,trailingTP
395,6.005,396,6.07,trailingTP
436,7.21,437,7.04,trailingTP
460,6.73,461,7.17,trailingTP
475,7.23,476,7.12,trailingTP
500,8.08,501,7.865,sellSignal
506,8.14,507,8.13,trailingTP
517,8.375,518,7.97,trailingTP
541,9.3,542,9.16,trailingTP
554,13.12,555,12.56,trailingTP
580,16.07,581,17.59,trailingTP
602,13.61,603,13.82,trailingTP
634,13.71,635,13.62,trailingTP
648,13.14,649,13.2,trailingTP
665,11.56,666,11.42,trailingTP
673,10.82,674,10.305,sellSignal
695,7.805,696,7.835,trailingTP
726,8.435,727,8.25,trailingTP
743,8.055,744,7.86,trailingTP
755,8.39,756,8.51,trailingTP
770,7.88,771,7.93,trailingTP
786,8.335,787,8.38,trailingTP
