entry_idx,entry_price,exit_idx,exit_price,reason
7,74.975,8,74.34,trailingTP
20,75.22,21,73.605,sellSignal
33,74.8,34,74.92,trailingTP
56,77.025,57,76.745,trailingTP
82,75.145,83,74.63,trailingTP
92,77.62,93,77.175,trailingTP
126,80.1,127,78.67,trailingTP
133,86.82,134,86.61,trailingTP
160,90.25,161,90.215,trailingTP
182,89.715,183,91.14,trailingTP
211,88.985,212,89.16,trailingTP
230,88.045,231,87.98,trailingTP
253,90.36,254,90.235,trailingTP
286,89.495,287,89.08,trailingTP
293,89.48,294,89.72,trailingTP
321,91.44,334,95.37,sellSignal
343,96.8,344,97.15,trailingTP
356,96.13,357,96.28,trailingTP
364,98.59,365,98.125,trailingTP
377,99.01,378,98.84,trailingTP
392,98.55,393,97.85,trailingTP
400,96.77,401,97.2,trailingTP
420,97.72,421,97.68,trailingTP
440,99.38,441,98.91,trailingTP
449,99.75,450,99.86,trailingTP
463,97.9,464,98.37,trailingTP
483,99.555,484,99.6,trailingTP
492,100.255,493,100.94,trailingTP
502,100.73,503,101.1,trailingTP
519,100.135,520,99.21,trailingTP
539,99.465,540,99.15,trailingTP
567,106.19,568,107.01,trailingTP
581,115.49,582,113.06,trailingTP
602,111.85,603,111.7,trailingTP
620,109.66,621,110.85,trailingTP
640,111.6,641,111.385,trailingTP
652,107.73,653,108.88,trailingTP
668,105.21,669,104.35,trailingTP
693,101.82,694,103.38,trailingTP
