entry_idx,entry_price,exit_idx,exit_price,reason
4,54.75,5,54.49,trailingTP
25,55.235,26,54.92,trailingTP
90,66.96,91,69.64,trailingTP
98,72.17,99,75.56,trailingTP
126,76.005,127,76.95,trailingTP
147,76.54,148,77.135,trailingTP
191,75.315,192,76.795,trailingTP
236,64.77,237,64.775,trailingTP
247,70.32,248,70.67,trailingTP
260,76.56,261,75.96,trailingTP
294,73.56,295,75.19,trailingTP
316,71.04,317,71.26,trailingTP
337,75.49,338,77.87,trailingTP
362,94.325,363,95.03,trailingTP
412,122.2,413,119.375,trailingTP
427,117.1,428,117.72,trailingTP
446,114.62,447,113.715,trailingTP
468,142.36,469,136.33,trailingTP
491,139.5,492,140.0,trailingTP
498,138.07,499,136.99,trailingTP
509,158.26,510,170.35,trailingTP
526,189.1,527,186.045,trailingTP
572,122.86,573,123.6,trailingTP
592,138.33,593,137.285,trailingTP
604,140.65,605,144.16,trailingTP
640,119.855,641,121.59,trailingTP
660,105.5,661,110.71,trailingTP
669,114.585,670,111.45,trailingTP
681,113.28,682,108.76,trailingTP
697,106.36,698,105.68,trailingTP
715,100.1,716,97.25,trailingTP
744,89.46,745,88.93,trailingTP
760,87.7,761,85.95,trailingTP
