entry_idx,entry_price,exit_idx,exit_price,reason
5,4.475,6,4.445,trailingTP
13,4.635,14,4.77,trailingTP
27,4.86,28,4.79,trailingTP
35,4.73,36,4.74,trailingTP
40,4.85,41,4.885,trailingTP
48,4.705,49,4.63,sellSignal
55,4.575,56,4.58,trailingTP
68,4.56,69,4.57,trailingTP
79,4.69,80,4.63,sellSignal
83,4.695,84,4.69,trailingTP
96,4.65,97,4.76,trailingTP
104,4.79,105,4.76,trailingTP
112,4.915,113,4.89,trailingTP
125,5.14,126,5.16,trailingTP
139,5.215,140,5.235,trailingTP
174,4.71,175,4.61,sellSignal
180,5.105,181,5.545,trailingTP
195,5.35,196,5.26,trailingTP
207,5.51,208,5.57,trailingTP
230,5.6,231,5.65,trailingTP
236,5.71,237,5.79,trailingTP
253,5.68,254,5.72,trailingTP
263,5.77,264,5.625,trailingTP
276,5.66,277,5.91,trailingTP
296,6.345,297,6.95,trailingTP
319,7.62,320,7.56,trailingTP
343,7.81,344,7.79,trailingTP
360,7.985,361,8.21,trailingTP
375,8.865,376,8.77,trailingTP
382,8.685,383,8.72,trailingTP
402,8.49,403,8.505,trailingTP
435,10.72,436,11.105,trailingTP
459,10.88,460,10.81,trailingTP
472,10.82,473,10.96,trailingTP
481,10.81,482,10.79,trailingTP
499,10.37,500,10.445,trailingTP
515,7.49,516,8.125,trailingTP
533,8.15,534,8.25,trailingTP
540,8.015,541,8.03,trailingTP
550,8.3,551,8.27,trailingTP
558,8.79,559,8.87,trailingTP
565,8.705,566,8.67,trailingTP
578,9.29,579,9.53,trailingTP
593,8.48,594,8.37,trailingTP
606,8.07,607,8.255,trailingTP
618,8.25,619,8.38,trailingTP
634,8.3,635,8.41,trailingTP
649,8.46,650,8.64,trailingTP
656,8.75,657,8.61,trailingTP
678,21.69,679,24.25,trailingTP
689,22.0,690,22.06,trailingTP
