entry_idx,entry_price,exit_idx,exit_price,reason
6,29.36,7,29.42,trailingTP
20,28.83,21,28.55,trailingTP
46,29.765,47,29.715,trailingTP
70,29.24,71,29.52,trailingTP
102,29.07,103,29.13,trailingTP
135,27.295,136,27.13,trailingTP
140,27.96,141,27.96,trailingTP
188,32.01,189,31.6,trailingTP
195,31.67,196,31.705,trailingTP
216,31.7,217,31.7,trailingTP
225,31.0,226,30.985,trailingTP
239,32.61,240,32.52,trailingTP
265,32.99,266,32.64,sellSignal
269,32.84,270,33.02,trailingTP
301,34.56,302,34.325,trailingTP
322,36.0,323,35.815,trailingTP
372,35.66,373,35.73,trailingTP
400,36.98,401,36.555,trailingTP
428,40.125,429,39.97,trailingTP
438,38.435,439,38.79,trailingTP
463,40.045,464,40.45,trailingTP
484,40.41,485,40.55,trailingTP
499,40.51,500,40.8,trailingTP
519,39.015,520,39.565,trailingTP
534,35.575,535,35.115,trailingTP
560,34.68,561,34.72,trailingTP
590,35.49,591,34.815,trailingTP
609,33.695,610,33.77,trailingTP
639,38.395,640,38.86,trailingTP
646,39.59,647,39.33,trailingTP
672,38.17,673,38.07,trailingTP
690,37.1,691,36.92,trailingTP
