entry_idx,entry_price,exit_idx,exit_price,reason
7,25.015,8,24.94,trailingTP
63,25.83,64,25.23,trailingTP
100,23.72,101,24.09,trailingTP
118,25.405,119,25.47,trailingTP
123,24.94,124,24.87,trailingTP
141,22.42,142,22.88,trailingTP
183,22.315,184,22.54,trailingTP
193,22.6,194,22.66,trailingTP
204,23.01,205,22.93,trailingTP
224,23.49,225,23.105,trailingTP
230,23.64,231,23.63,trailingTP
240,23.85,241,23.88,trailingTP
260,25.345,261,25.745,trailingTP
296,28.23,297,28.19,trailingTP
316,30.665,317,30.615,trailingTP
351,29.7,352,30.325,trailingTP
370,30.67,371,30.685,trailingTP
379,30.4,380,30.85,trailingTP
393,32.66,394,32.765,trailingTP
403,33.79,404,33.81,trailingTP
420,30.94,421,30.425,trailingTP
442,32.195,443,30.8,trailingTP
484,28.205,485,28.53,trailingTP
506,28.97,507,29.11,trailingTP
518,28.77,519,29.51,trailingTP
525,29.53,526,28.365,sellSignal
533,29.055,534,28.76,trailingTP
569,34.01,570,33.98,trailingTP
588,34.19,589,35.16,trailingTP
599,34.83,600,35.09,trailingTP
625,37.86,626,38.39,trailingTP
652,38.72,653,38.79,trailingTP
669,38.865,670,39.04,trailingTP
680,37.91,681,37.8,trailingTP
689,34.755,690,34.87,trailingTP
700,34.75,701,34.0,trailingTP
