entry_idx,entry_price,exit_idx,exit_price,reason
7,13.025,8,13.09,trailingTP
22,12.81,23,12.81,trailingTP
52,12.42,53,12.42,trailingTP
70,12.15,71,12.185,trailingTP
99,12.67,100,12.605,trailingTP
113,12.63,114,12.635,trailingTP
124,12.8,125,12.81,trailingTP
142,12.805,143,12.75,trailingTP
164,13.12,165,13.17,trailingTP
185,12.365,186,12.38,trailingTP
214,12.17,215,12.22,trailingTP
227,11.91,228,11.955,trailingTP
240,11.97,241,11.945,trailingTP
263,12.17,264,12.08,trailingTP
279,12.465,280,12.455,trailingTP
290,12.4,291,12.36,trailingTP
300,12.31,301,12.28,trailingTP
321,12.24,322,12.415,trailingTP
329,12.585,330,12.54,trailingTP
343,12.8,344,12.78,trailingTP
351,12.745,352,12.83,trailingTP
368,12.955,369,12.955,trailingTP
387,12.68,388,12.695,trailingTP
413,13.355,414,13.21,trailingTP
435,12.73,436,12.66,trailingTP
458,12.47,459,12.43,trailingTP
491,11.75,492,11.785,trailingTP
522,11.74,523,11.675,trailingTP
539,11.655,540,11.61,trailingTP
564,11.86,565,11.745,sellSignal
572,11.95,573,11.855,trailingTP
601,11.82,602,12.01,trailingTP
611,11.835,612,11.81,trailingTP
632,12.41,633,12.695,trailingTP
643,13.105,644,13.095,trailingTP
663,13.19,664,13.215,trailingTP
670,13.27,671,13.32,trailingTP
688,13.175,689,13.145,trailingTP
695,13.085,696,13.02,trailingTP
706,12.89,707,12.74,sellSignal
732,12.73,733,12.725,trailingTP
