entry_idx,entry_price,exit_idx,exit_price,reason
1,134.39,2,134.63,trailingTP
21,142.36,22,143.06,trailingTP
30,144.04,31,143.16,trailingTP
75,154.45,76,153.17,trailingTP
89,150.83,90,149.74,trailingTP
128,158.64,129,158.59,trailingTP
149,159.27,150,158.91,trailingTP
199,184.15,200,185.42,trailingTP
250,156.02,251,156.27,trailingTP
273,158.1,274,157.13,trailingTP
299,158.13,300,158.03,trailingTP
310,155.75,311,157.82,trailingTP
332,158.09,333,154.04,sellSignal
341,157.69,342,156.945,trailingTP
372,167.34,373,166.72,trailingTP
384,170.705,385,171.26,trailingTP
399,166.44,400,168.35,trailingTP
423,181.86,424,182.75,trailingTP
430,182.54,431,181.29,trailingTP
439,177.84,440,183.75,trailingTP
456,179.95,457,179.24,trailingTP
492,181.66,493,180.865,trailingTP
519,185.18,520,185.43,trailingTP
537,178.78,538,178.435,trailingTP
551,183.41,552,182.61,trailingTP
567,182.255,568,182.85,trailingTP
588,175.52,589,174.39,trailingTP
618,190.74,619,189.585,trailingTP
635,201.42,636,202.68,trailingTP
678,177.72,679,177.97,trailingTP
715,176.16,716,176.11,trailingTP
731,172.0,732,169.38,trailingTP
744,172.98,745,173.13,trailingTP
761,161.25,762,162.78,trailingTP
772,163.16,773,163.685,trailingTP
