entry_idx,entry_price,exit_idx,exit_price,reason
9,48.44,10,47.83,trailingTP
14,48.72,15,48.54,trailingTP
35,48.83,36,49.94,trailingTP
56,48.48,57,49.07,trailingTP
65,48.46,66,47.51,sellSignal
70,48.035,71,48.14,trailingTP
89,46.83,90,47.08,trailingTP
112,48.39,113,49.455,trailingTP
138,52.21,139,52.12,trailingTP
142,52.47,143,52.38,trailingTP
156,51.14,157,50.96,trailingTP
182,44.055,183,44.465,trailingTP
198,48.39,199,48.12,trailingTP
230,48.82,231,48.905,trailingTP
258,49.515,259,49.66,trailingTP
280,50.87,281,52.25,trailingTP
315,57.515,316,57.4,trailingTP
329,59.75,330,59.985,trailingTP
356,59.685,357,59.96,trailingTP
366,61.0,367,61.65,trailingTP
378,62.08,379,61.02,trailingTP
409,58.54,410,58.53,trailingTP
459,63.42,460,63.64,trailingTP
493,65.91,494,66.61,trailingTP
498,67.66,499,68.82,trailingTP
518,67.13,519,67.505,trailingTP
537,66.715,538,66.46,trailingTP
553,68.29,554,68.11,trailingTP
560,67.785,561,67.87,trailingTP
568,67.34,569,67.15,trailingTP
582,68.575,583,68.55,trailingTP
593,67.62,594,67.91,trailingTP
609,72.95,610,73.18,trailingTP
620,70.77,621,71.21,trailingTP
626,71.675,627,71.99,trailingTP
647,75.5,648,75.05,trailingTP
660,76.62,661,76.87,trailingTP
667,75.825,668,76.29,trailingTP
679,76.97,680,78.655,trailingTP
686,77.56,687,77.95,trailingTP
700,83.47,701,82.59,trailingTP
