entry_idx,entry_price,exit_idx,exit_price,reason
7,16.76,8,16.87,trailingTP
17,16.705,18,15.78,trailingTP
44,15.44,45,15.79,trailingTP
55,16.16,56,16.32,trailingTP
60,16.69,61,16.48,trailingTP
81,19.13,82,19.46,trailingTP
96,18.28,97,18.93,trailingTP
141,17.98,142,18.3,trailingTP
155,16.99,156,17.05,trailingTP
199,17.46,200,17.64,trailingTP
216,18.66,217,18.12,trailingTP
264,15.42,265,15.42,trailingTP
280,15.42,281,15.44,trailingTP
296,15.615,297,15.745,trailingTP
311,15.56,312,15.15,trailingTP
333,15.43,334,15.19,trailingTP
337,15.765,338,15.525,trailingTP
415,24.85,416,25.5,trailingTP
425,26.055,426,25.66,trailingTP
452,27.84,453,26.71,trailingTP
475,25.12,476,25.655,trailingTP
499,35.16,500,36.31,trailingTP
532,35.75,533,36.85,trailingTP
553,44.82,554,44.42,trailingTP
570,39.87,571,37.9,sellSignal
594,31.91,595,32.72,trailingTP
602,33.47,603,34.58,trailingTP
629,34.115,630,34.0,trailingTP
673,31.44,674,31.045,trailingTP
684,28.41,685,27.325,trailingTP
727,24.76,728,24.27,trailingTP
747,23.12,748,22.72,trailingTP
777,21.55,778,21.55,trailingTP
805,22.775,806,22.64,trailingTP
