entry_idx,entry_price,exit_idx,exit_price,reason
16,1.83,17,1.795,sellSignal
20,1.855,21,1.845,trailingTP
48,1.78,49,1.695,sellSignal
56,1.76,57,1.735,trailingTP
82,1.795,83,1.75,sellSignal
90,1.765,91,1.77,trailingTP
103,1.875,104,1.95,trailingTP
118,1.935,119,1.935,trailingTP
136,1.7,137,1.685,trailingTP
160,1.49,161,1.455,sellSignal
168,1.48,169,1.435,sellSignal
183,1.365,184,1.39,trailingTP
215,1.19,216,1.175,trailingTP
231,1.14,232,1.125,trailingTP
247,1.11,248,1.07,sellSignal
262,1.005,263,1.06,trailingTP
292,1.17,293,1.19,trailingTP
300,1.2,301,1.175,trailingTP
315,1.12,316,1.1,trailingTP
329,1.065,330,1.06,trailingTP
336,1.075,337,1.09,trailingTP
351,1.075,352,1.095,trailingTP
365,1.115,366,1.16,trailingTP
381,1.23,382,1.26,trailingTP
395,1.305,396,1.335,trailingTP
406,1.38,407,1.48,trailingTP
417,1.565,418,1.545,trailingTP
437,1.68,438,1.67,trailingTP
453,1.53,454,1.605,trailingTP
471,1.435,472,1.385,trailingTP
534,1.79,535,1.87,trailingTP
543,1.875,544,1.935,trailingTP
551,2.08,552,2.0,trailingTP
565,2.625,566,2.94,trailingTP
584,2.665,585,2.65,trailingTP
605,2.185,606,2.275,trailingTP
626,2.38,627,2.35,trailingTP
653,2.1,654,2.14,trailingTP
669,1.92,670,1.905,trailingTP
677,1.88,678,1.85,trailingTP
689,1.69,690,1.685,trailingTP
699,1.585,700,1.575,trailingTP
713,1.635,714,1.615,trailingTP
732,1.42,733,1.42,trailingTP
753,1.3,754,1.34,trailingTP
775,1.275,776,1.29,trailingTP
797,1.4,798,1.4,trailingTP
