entry_idx,entry_price,exit_idx,exit_price,reason
3,8.28,4,8.245,trailingTP
49,9.305,50,9.26,trailingTP
70,9.425,71,9.32,trailingTP
84,9.65,85,9.61,trailingTP
94,9.95,95,9.93,trailingTP
102,10.05,103,10.22,trailingTP
118,9.89,119,9.775,trailingTP
138,9.17,139,8.99,trailingTP
158,9.315,159,9.52,trailingTP
179,9.29,180,9.18,trailingTP
202,10.04,203,10.2,trailingTP
221,10.09,222,10.07,trailingTP
232,10.23,233,10.2,trailingTP
255,10.25,256,10.23,trailingTP
278,10.59,279,10.91,trailingTP
300,11.84,301,11.67,trailingTP
323,11.53,324,11.53,trailingTP
349,11.66,350,11.71,trailingTP
369,12.36,370,12.45,trailingTP
377,12.405,378,12.535,trailingTP
401,12.645,402,12.625,trailingTP
410,12.65,411,12.7,trailingTP
418,13.19,419,13.32,trailingTP
439,13.41,440,13.36,trailingTP
462,14.53,463,14.62,trailingTP
483,15.84,484,15.505,trailingTP
499,16.36,500,16.345,trailingTP
511,16.91,512,16.29,trailingTP
546,17.12,547,16.95,trailingTP
589,20.01,590,20.025,trailingTP
605,19.69,606,19.76,trailingTP
621,19.2,622,19.29,trailingTP
632,19.895,633,19.99,trailingTP
651,20.235,652,20.11,trailingTP
670,20.4,671,20.16,trailingTP
684,21.33,685,21.24,trailingTP
707,24.6,708,24.79,trailingTP
