entry_idx,entry_price,exit_idx,exit_price,reason
7,545.56,8,556.69,trailingTP
14,553.92,15,548.35,sellSignal
20,552.39,21,553.275,trailingTP
30,564.55,31,563.27,trailingTP
50,553.52,51,557.755,trailingTP
58,552.745,59,548.08,trailingTP
70,549.0,71,547.83,trailingTP
77,560.15,78,555.945,trailingTP
100,563.59,101,564.2,trailingTP
118,560.565,119,558.755,trailingTP
132,563.595,133,547.82,trailingTP
138,559.08,139,570.64,trailingTP
160,556.88,161,558.135,trailingTP
182,560.4,183,558.86,trailingTP
189,559.37,190,559.45,trailingTP
202,579.61,203,578.165,trailingTP
223,585.175,224,577.82,trailingTP
237,604.455,238,601.81,trailingTP
252,577.21,253,577.245,trailingTP
271,579.34,272,579.925,trailingTP
278,580.73,279,580.01,trailingTP
283,574.66,284,576.05,trailingTP
293,577.0,294,571.62,trailingTP
300,570.27,301,569.21,trailingTP
313,558.39,314,558.32,trailingTP
328,563.825,329,568.4,trailingTP
342,567.9,343,569.27,trailingTP
363,594.33,364,584.705,sellSignal
366,593.9,367,596.77,trailingTP
382,600.215,383,595.64,trailingTP
393,575.29,394,570.33,sellSignal
397,577.2,398,574.245,trailingTP
405,559.32,406,552.35,sellSignal
410,560.24,411,564.505,trailingTP
417,561.76,418,560.62,trailingTP
422,568.145,423,568.54,trailingTP
426,595.77,427,605.105,trailingTP
440,604.9,441,616.805,trailingTP
462,585.64,463,587.95,trailingTP
475,572.98,476,571.0,trailingTP
481,564.3,482,550.8,sellSignal
487,561.41,488,557.46,trailingTP
503,585.815,504,584.835,trailingTP
510,574.09,511,571.74,trailingTP
525,578.71,526,577.81,trailingTP
545,579.125,546,577.03,trailingTP
558,584.25,580,652.04,sellSignal
581,656.94,582,657.13,trailingTP
601,636.24,602,631.2,trailingTP
620,651.69,621,657.755,trailingTP
630,663.91,631,666.09,trailingTP
643,698.645,644,699.51,trailingTP
653,697.5,654,696.12,trailingTP
665,712.87,666,715.12,trailingTP
678,733.21,679,748.6,trailingTP
687,753.28,688,754.55,trailingTP
699,771.14,700,778.35,trailingTP
