entry_idx,entry_price,exit_idx,exit_price,reason
7,125.83,8,127.45,trailingTP
21,131.425,22,134.47,trailingTP
54,120.185,55,119.765,trailingTP
74,116.655,75,116.67,trailingTP
83,114.2,84,117.415,trailingTP
93,120.77,94,120.92,trailingTP
108,121.36,109,120.87,trailingTP
112,131.495,113,127.785,trailingTP
137,117.15,138,118.11,trailingTP
162,112.53,163,112.31,trailingTP
182,113.15,207,125.58,sellSignal
214,126.36,215,124.99,trailingTP
217,126.06,218,125.42,trailingTP
238,120.895,244,124.79,sellSignal
269,120.65,270,120.545,trailingTP
285,120.1,286,120.65,trailingTP
296,116.9,297,117.77,trailingTP
322,120.33,323,121.275,trailingTP
350,114.86,351,114.16,trailingTP
364,124.11,365,124.86,trailingTP
378,125.23,379,126.67,trailingTP
396,125.13,397,124.515,trailingTP
408,123.455,409,124.07,trailingTP
420,127.34,421,127.57,trailingTP
441,147.23,442,148.26,trailingTP
460,147.48,461,145.905,trailingTP
483,148.29,484,148.11,trailingTP
492,149.28,493,148.77,trailingTP
504,155.765,505,153.5,trailingTP
519,156.415,520,156.4,trailingTP
525,161.17,526,164.965,trailingTP
539,159.68,540,161.93,trailingTP
582,148.205,583,149.51,trailingTP
614,145.05,615,144.99,trailingTP
621,142.61,622,142.68,trailingTP
632,153.175,633,154.035,trailingTP
653,154.09,654,154.48,trailingTP
667,152.79,668,153.17,trailingTP
676,154.37,677,155.19,trailingTP
686,159.4,687,162.58,trailingTP
716,170.805,716,170.805,endClose
