entry_idx,entry_price,exit_idx,exit_price,reason
5,13.55,6,13.44,trailingTP
23,13.5,24,13.42,trailingTP
42,12.65,43,12.53,trailingTP
56,13.75,57,14.1,trailingTP
69,16.785,70,16.57,trailingTP
97,15.58,98,15.61,trailingTP
121,15.88,122,15.43,sellSignal
145,15.11,146,15.29,trailingTP
161,14.5,162,15.455,trailingTP
206,15.73,207,15.76,trailingTP
221,16.79,222,16.065,trailingTP
244,16.98,245,16.745,trailingTP
276,14.73,277,14.76,trailingTP
292,15.05,293,15.07,trailingTP
308,15.89,309,16.24,trailingTP
330,15.53,331,15.68,trailingTP
357,15.405,358,15.145,trailingTP
428,26.4,429,27.33,trailingTP
437,27.96,438,29.23,trailingTP
465,33.33,466,31.6,trailingTP
481,30.15,482,30.12,trailingTP
536,46.56,537,44.91,trailingTP
551,49.25,552,50.79,trailingTP
572,56.34,573,54.65,trailingTP
587,47.735,588,46.9,trailingTP
614,39.57,615,39.185,trailingTP
630,41.7,631,40.635,trailingTP
648,39.345,649,39.375,trailingTP
685,36.77,686,36.05,trailingTP
707,33.44,708,33.765,trailingTP
745,26.71,746,26.1,trailingTP
767,25.63,768,25.68,trailingTP
779,26.525,780,25.1,sellSignal
796,24.33,797,24.62,trailingTP
811,26.09,812,25.8,trailingTP
