entry_idx,entry_price,exit_idx,exit_price,reason
14,19.1,15,19.05,trailingTP
23,19.095,24,19.1,trailingTP
34,19.135,35,19.11,trailingTP
47,19.03,48,19.26,trailingTP
52,19.275,53,19.105,trailingTP
67,19.395,68,19.47,trailingTP
95,20.45,96,20.61,trailingTP
102,20.255,103,20.27,trailingTP
112,20.3,113,20.885,trailingTP
121,21.035,122,20.97,trailingTP
136,22.49,137,22.69,trailingTP
143,23.27,144,24.3,trailingTP
159,30.9,160,31.68,trailingTP
217,40.03,218,40.0,trailingTP
237,42.54,238,42.02,trailingTP
249,41.59,250,41.3,trailingTP
258,40.84,259,40.22,trailingTP
270,38.84,271,39.795,trailingTP
278,39.2,279,38.765,trailingTP
289,40.28,290,40.02,trailingTP
316,37.34,317,37.165,trailingTP
336,37.6,337,37.78,trailingTP
359,35.11,360,34.145,sellSignal
362,35.09,363,34.78,trailingTP
367,35.3,368,35.6,trailingTP
401,28.66,402,28.565,trailingTP
412,28.79,413,28.915,trailingTP
429,28.435,430,28.885,trailingTP
441,28.64,442,28.9,trailingTP
455,28.94,456,28.73,trailingTP
460,28.12,461,28.01,trailingTP
484,27.405,485,27.63,trailingTP
519,30.29,520,30.535,trailingTP
534,30.22,535,30.31,trailingTP
542,30.24,543,29.895,sellSignal
548,29.86,549,29.6,trailingTP
556,30.08,557,30.01,trailingTP
561,30.425,562,30.56,trailingTP
588,38.905,589,37.305,trailingTP
594,37.84,595,38.19,trailingTP
617,36.06,618,36.53,trailingTP
650,42.49,651,41.88,trailingTP
665,44.56,666,44.29,trailingTP
669,44.485,670,44.51,trailingTP
691,49.56,692,49.64,trailingTP
