entry_idx,entry_price,exit_idx,exit_price,reason
7,2.75,8,2.85,trailingTP
22,2.9,23,2.875,trailingTP
57,2.605,58,2.63,trailingTP
106,3.03,107,3.035,trailingTP
117,3.025,118,3.05,trailingTP
122,2.97,123,3.005,trailingTP
146,2.82,147,2.85,trailingTP
155,2.95,156,3.09,trailingTP
170,3.0,171,3.025,trailingTP
196,2.97,197,3.005,trailingTP
203,2.99,204,3.025,trailingTP
220,2.975,221,2.91,sellSignal
236,2.83,237,2.805,trailingTP
262,3.12,263,3.075,trailingTP
299,3.04,300,3.07,trailingTP
314,3.09,315,3.095,trailingTP
355,3.395,356,3.415,trailingTP
373,3.485,374,3.47,trailingTP
384,3.36,385,3.38,trailingTP
396,3.78,397,3.73,trailingTP
406,3.195,407,3.17,trailingTP
432,3.115,433,3.14,trailingTP
455,3.405,456,3.435,trailingTP
494,3.155,495,3.135,trailingTP
509,3.265,510,3.245,trailingTP
525,3.24,526,3.215,trailingTP
544,3.395,545,3.395,trailingTP
582,3.82,583,3.84,trailingTP
603,3.97,604,3.94,trailingTP
631,3.905,632,3.96,trailingTP
669,4.115,670,4.095,trailingTP
674,4.13,675,4.14,trailingTP
684,4.175,685,4.17,trailingTP
690,4.125,691,4.115,trailingTP
708,3.895,709,3.96,trailingTP
723,4.19,724,4.24,trailingTP
