entry_idx,entry_price,exit_idx,exit_price,reason
9,131.6,10,130.51,trailingTP
33,131.67,34,131.21,trailingTP
40,130.77,41,131.165,trailingTP
53,128.625,54,128.78,trailingTP
70,131.375,71,132.565,trailingTP
82,135.515,83,135.64,trailingTP
97,136.4,98,138.16,trailingTP
135,137.07,136,136.66,trailingTP
175,146.19,176,146.56,trailingTP
217,147.54,218,148.41,trailingTP
236,145.64,237,145.54,trailingTP
281,150.03,282,150.575,trailingTP
309,151.68,310,151.805,trailingTP
327,149.71,328,149.24,trailingTP
357,147.385,358,147.51,trailingTP
377,146.14,378,145.95,trailingTP
385,145.34,386,144.45,trailingTP
407,150.19,408,150.27,trailingTP
463,151.73,464,151.3,trailingTP
476,151.395,477,150.21,trailingTP
483,153.59,484,153.5,trailingTP
512,156.35,513,156.77,trailingTP
533,157.585,534,157.68,trailingTP
546,157.65,547,157.435,trailingTP
553,160.69,554,161.41,trailingTP
563,161.09,564,160.83,trailingTP
592,159.03,593,160.515,trailingTP
616,161.025,617,160.735,trailingTP
667,160.29,668,160.57,trailingTP
686,167.345,687,170.96,trailingTP
