entry_idx,entry_price,exit_idx,exit_price,reason
14,145.52,15,145.64,trailingTP
26,146.15,27,146.4,trailingTP
53,149.685,54,150.01,trailingTP
78,149.04,79,148.58,trailingTP
102,156.78,103,156.93,trailingTP
112,157.38,113,157.02,trailingTP
140,157.895,141,158.35,trailingTP
156,157.55,157,157.11,trailingTP
166,154.925,167,155.71,trailingTP
183,155.64,184,155.71,trailingTP
194,154.69,195,155.68,trailingTP
210,155.075,211,155.95,trailingTP
226,155.25,227,155.81,trailingTP
245,157.575,246,156.995,trailingTP
289,158.17,290,157.355,trailingTP
305,157.175,306,157.35,trailingTP
319,152.445,320,151.995,trailingTP
335,157.67,336,156.56,trailingTP
344,157.245,345,157.7,trailingTP
376,158.305,377,158.23,trailingTP
391,160.57,392,161.16,trailingTP
406,164.64,407,163.62,trailingTP
420,165.47,421,166.41,trailingTP
448,168.68,449,169.12,trailingTP
492,160.1,493,160.04,trailingTP
513,158.115,514,157.535,trailingTP
575,178.75,576,177.5,trailingTP
618,175.62,619,175.93,trailingTP
636,179.19,637,179.285,trailingTP
653,175.12,654,175.045,trailingTP
679,177.17,680,177.13,trailingTP
694,171.73,695,172.02,trailingTP
