entry_idx,entry_price,exit_idx,exit_price,reason
1,15.255,2,15.3,trailingTP
15,14.915,16,14.95,trailingTP
35,15.95,36,15.785,trailingTP
46,15.59,47,15.72,trailingTP
61,15.87,62,15.84,trailingTP
70,16.205,71,16.58,trailingTP
78,16.6,79,16.61,trailingTP
113,15.8,114,15.64,trailingTP
140,15.91,141,15.83,trailingTP
168,16.84,169,16.74,trailingTP
178,16.6,179,16.48,trailingTP
204,16.77,205,16.885,trailingTP
211,16.96,212,16.835,trailingTP
232,16.405,233,16.255,trailingTP
239,16.69,240,16.6,trailingTP
252,16.66,253,16.7,trailingTP
268,16.68,269,16.725,trailingTP
273,16.65,288,17.49,sellSignal
301,17.815,302,17.58,trailingTP
320,17.65,321,17.44,trailingTP
325,17.62,326,17.645,trailingTP
356,19.77,357,19.65,trailingTP
369,19.115,370,19.87,trailingTP
398,21.675,399,21.55,trailingTP
437,24.51,438,24.74,trailingTP
447,24.91,448,24.835,trailingTP
475,24.205,476,24.39,trailingTP
492,26.61,493,26.66,trailingTP
496,26.98,497,27.28,trailingTP
519,26.62,520,26.445,trailingTP
542,23.56,543,23.67,trailingTP
555,22.305,556,22.48,trailingTP
575,23.9,576,23.92,trailingTP
587,24.0,588,23.085,sellSignal
593,23.48,594,22.61,sellSignal
608,22.855,609,22.44,sellSignal
620,22.75,621,22.81,trailingTP
638,24.47,639,24.68,trailingTP
652,23.845,653,23.745,trailingTP
666,24.295,667,24.405,trailingTP
678,25.95,679,25.555,trailingTP
692,24.42,693,24.475,trailingTP
