entry_idx,entry_price,exit_idx,exit_price,reason
7,14.69,8,14.72,trailingTP
20,15.46,21,15.535,trailingTP
32,15.11,33,15.185,trailingTP
36,15.14,37,15.105,trailingTP
73,14.44,74,14.455,trailingTP
100,14.905,101,14.805,trailingTP
114,14.445,115,14.64,trailingTP
126,14.31,127,14.47,trailingTP
135,14.21,136,14.255,trailingTP
150,14.13,151,14.02,trailingTP
169,12.64,170,12.725,trailingTP
194,14.755,195,14.72,trailingTP
217,13.61,218,13.57,trailingTP
227,13.85,228,13.94,trailingTP
253,14.28,254,14.385,trailingTP
274,14.235,275,14.245,trailingTP
286,14.03,287,14.01,trailingTP
297,13.87,298,13.98,trailingTP
315,13.41,316,13.485,trailingTP
327,14.095,328,14.07,trailingTP
334,14.025,335,13.98,trailingTP
354,14.44,355,14.325,trailingTP
361,14.07,362,14.14,trailingTP
368,14.285,369,14.23,trailingTP
387,14.74,388,14.665,trailingTP
393,14.695,394,14.64,trailingTP
416,14.68,417,14.715,trailingTP
424,14.76,425,14.6,sellSignal
426,14.87,427,14.8,trailingTP
443,14.1,444,14.13,trailingTP
468,13.29,469,13.3,trailingTP
479,13.13,480,13.16,trailingTP
494,12.855,495,12.81,trailingTP
500,12.92,501,12.88,trailingTP
508,13.07,509,13.13,trailingTP
549,13.23,550,13.35,trailingTP
556,13.42,557,13.33,sellSignal
559,13.52,560,13.5,trailingTP
570,13.6,571,13.58,trailingTP
584,13.4,585,13.47,trailingTP
607,16.7,608,16.62,trailingTP
617,16.51,618,16.31,trailingTP
639,16.29,640,17.08,trailingTP
649,16.98,650,16.775,trailingTP
665,15.715,666,15.885,trailingTP
673,15.555,674,15.42,trailingTP
686,16.02,687,15.825,trailingTP
