entry_idx,entry_price,exit_idx,exit_price,reason
1,34.1,2,34.12,trailingTP
10,34.08,11,34.12,trailingTP
18,33.67,19,33.54,trailingTP
25,32.33,26,32.55,trailingTP
36,29.02,37,28.85,trailingTP
44,27.67,45,27.39,trailingTP
52,29.27,53,29.17,trailingTP
57,29.2,58,28.25,sellSignal
65,28.49,66,28.09,trailingTP
72,28.03,73,28.39,trailingTP
83,28.53,84,28.47,trailingTP
88,28.39,89,27.88,trailingTP
95,28.63,96,28.3,trailingTP
109,29.23,110,29.75,trailingTP
120,28.58,121,28.5,trailingTP
125,28.54,126,28.76,trailingTP
136,29.17,137,28.97,trailingTP
142,28.57,143,28.65,trailingTP
160,30.0,161,30.35,trailingTP
197,27.77,198,27.74,trailingTP
214,27.44,215,27.93,trailingTP
223,28.22,224,28.44,trailingTP
238,29.56,239,30.28,trailingTP
255,30.8,256,30.97,trailingTP
267,31.19,268,30.74,sellSignal
273,31.51,274,31.75,trailingTP
291,30.46,292,30.16,trailingTP
321,31.51,322,31.8,trailingTP
330,31.59,331,31.45,trailingTP
344,30.87,345,31.35,trailingTP
374,29.08,375,29.18,trailingTP
389,28.58,390,28.85,trailingTP
404,28.48,405,28.37,trailingTP
423,30.65,424,30.73,trailingTP
434,30.89,435,31.16,trailingTP
460,29.62,461,29.82,trailingTP
469,27.77,470,27.51,trailingTP
496,24.54,497,25.02,trailingTP
511,25.07,512,25.63,trailingTP
520,25.89,521,26.57,trailingTP
535,30.24,536,30.28,trailingTP
544,30.23,545,30.34,trailingTP
571,30.64,572,30.29,trailingTP
582,29.77,583,31.25,trailingTP
597,30.72,598,29.88,sellSignal
600,30.54,601,30.64,trailingTP
616,28.12,617,27.755,trailingTP
641,31.07,642,30.89,trailingTP
670,33.89,671,34.7,trailingTP
695,32.89,696,33.73,trailingTP
704,33.18,705,34.41,trailingTP
713,35.54,714,36.14,trailingTP
743,42.33,744,43.97,trailingTP
752,43.7,753,46.0,trailingTP
774,46.5,775,46.3,trailingTP
791,42.19,792,42.52,trailingTP
