entry_idx,entry_price,exit_idx,exit_price,reason
2,15.185,3,15.17,trailingTP
15,14.82,16,14.77,trailingTP
61,15.15,62,15.14,trailingTP
70,15.43,71,15.68,trailingTP
102,15.435,103,15.47,trailingTP
116,15.16,117,15.18,trailingTP
135,14.62,136,14.53,trailingTP
182,16.86,183,16.805,trailingTP
204,16.915,205,17.04,trailingTP
216,16.86,217,16.86,trailingTP
226,16.48,227,16.445,trailingTP
240,17.35,241,17.27,trailingTP
263,17.415,264,17.42,trailingTP
302,19.08,303,18.86,trailingTP
323,19.44,324,19.43,trailingTP
369,20.03,370,20.01,trailingTP
400,21.75,401,21.66,trailingTP
427,23.08,429,23.575,trailingTP
439,22.71,440,22.84,trailingTP
463,24.12,464,24.42,trailingTP
477,23.91,478,23.78,trailingTP
484,24.795,485,24.87,trailingTP
519,25.16,520,25.47,trailingTP
540,23.28,541,23.175,trailingTP
561,22.175,562,22.31,trailingTP
578,22.995,579,22.85,trailingTP
610,21.89,611,21.335,trailingTP
638,23.29,639,23.735,trailingTP
673,23.34,674,22.91,trailingTP
689,21.79,690,21.59,trailingTP
