entry_idx,entry_price,exit_idx,exit_price,reason
6,74.15,7,74.07,trailingTP
16,74.95,17,74.515,trailingTP
35,72.18,36,72.39,trailingTP
49,71.95,50,71.02,sellSignal
52,72.755,53,72.705,trailingTP
78,72.815,79,73.03,trailingTP
83,73.14,84,73.125,trailingTP
98,73.705,99,74.56,trailingTP
105,76.715,106,76.585,trailingTP
116,76.995,117,76.82,trailingTP
131,76.27,132,76.41,trailingTP
148,74.75,149,75.495,trailingTP
162,75.64,163,76.97,trailingTP
175,76.525,176,77.15,trailingTP
199,74.665,200,74.565,trailingTP
215,73.22,216,73.45,trailingTP
227,76.055,228,76.11,trailingTP
245,78.655,246,78.65,trailingTP
253,80.225,254,81.545,trailingTP
259,81.38,260,80.92,trailingTP
268,79.21,269,79.16,trailingTP
276,79.485,277,79.49,trailingTP
288,82.36,289,82.14,trailingTP
305,84.405,306,85.3,trailingTP
312,88.25,313,90.115,trailingTP
324,88.76,325,88.94,trailingTP
345,90.56,346,91.025,trailingTP
354,91.97,355,91.695,trailingTP
365,94.98,366,94.555,trailingTP
374,92.635,375,93.32,trailingTP
381,90.855,382,91.205,trailingTP
392,90.54,394,93.075,trailingTP
403,93.83,404,94.72,trailingTP
425,100.885,426,100.145,trailingTP
460,88.805,461,89.795,trailingTP
470,90.625,471,90.205,trailingTP
473,92.615,474,93.24,trailingTP
479,92.655,480,94.64,trailingTP
490,93.61,491,93.97,trailingTP
512,92.0,513,93.65,trailingTP
534,99.97,535,100.805,trailingTP
556,98.3,557,97.81,trailingTP
572,94.93,573,94.42,trailingTP
590,92.63,591,93.295,trailingTP
607,93.89,608,92.88,trailingTP
621,87.63,622,87.05,trailingTP
638,85.1,639,85.39,trailingTP
642,86.97,643,84.54,trailingTP
658,82.66,659,82.88,trailingTP
665,84.24,666,84.21,trailingTP
676,84.74,677,86.275,trailingTP
