entry_idx,entry_price,exit_idx,exit_price,reason
7,46.86,8,46.72,trailingTP
21,47.4,22,46.935,trailingTP
29,47.25,30,46.78,trailingTP
57,42.195,58,41.91,trailingTP
68,42.07,69,42.19,trailingTP
71,42.09,72,42.07,trailingTP
84,42.33,85,43.33,trailingTP
104,42.595,105,42.375,trailingTP
140,42.11,141,41.965,trailingTP
168,42.56,169,43.68,trailingTP
182,46.0,183,46.87,trailingTP
210,45.63,211,45.05,trailingTP
232,45.11,233,44.7,trailingTP
279,52.44,280,51.45,trailingTP
287,51.97,288,52.03,trailingTP
340,85.115,341,86.14,trailingTP
374,100.6,375,101.75,trailingTP
406,99.245,407,94.87,trailingTP
429,119.61,430,121.615,trailingTP
461,122.29,462,120.87,trailingTP
484,126.73,485,129.57,trailingTP
498,133.0,499,138.83,trailingTP
519,148.24,520,149.68,trailingTP
533,156.135,534,148.92,trailingTP
565,173.96,566,172.425,trailingTP
588,199.33,589,196.08,trailingTP
603,212.135,604,211.6,trailingTP
617,225.74,618,227.315,trailingTP
622,222.26,623,228.71,trailingTP
654,260.645,655,266.61,trailingTP
661,281.61,662,272.52,trailingTP
675,255.55,676,246.315,trailingTP
697,223.51,698,225.26,trailingTP
721,226.03,722,223.475,trailingTP
