entry_idx,entry_price,exit_idx,exit_price,reason
5,223.8,6,225.8,trailingTP
35,212.515,36,213.0,trailingTP
63,214.02,64,216.34,trailingTP
91,215.27,92,213.17,trailingTP
113,220.215,114,218.7,trailingTP
126,225.595,127,228.065,trailingTP
140,209.1,141,208.725,trailingTP
157,208.34,158,210.11,trailingTP
167,206.44,168,201.91,sellSignal
175,195.82,176,196.02,trailingTP
190,196.15,191,195.81,trailingTP
228,194.435,229,193.67,trailingTP
239,199.18,240,197.18,trailingTP
259,198.52,260,200.3,trailingTP
299,222.32,300,223.42,trailingTP
323,231.82,324,226.14,trailingTP
332,227.87,333,226.37,trailingTP
344,226.6,345,227.185,trailingTP
364,218.05,365,219.85,trailingTP
401,224.03,402,223.89,trailingTP
407,224.685,408,222.71,trailingTP
428,229.0,429,228.93,trailingTP
449,242.755,450,242.6,trailingTP
461,237.25,462,234.765,trailingTP
505,248.02,506,243.96,trailingTP
519,243.17,520,243.74,trailingTP
540,248.55,541,249.39,trailingTP
588,274.9,589,277.84,trailingTP
610,268.49,611,263.99,trailingTP
622,264.01,623,262.98,trailingTP
670,255.8,671,255.37,trailingTP
695,240.855,696,242.56,trailingTP
