entry_idx,entry_price,exit_idx,exit_price,reason
7,19.84,8,20.7,trailingTP
24,20.975,25,21.075,trailingTP
56,21.395,57,21.14,trailingTP
77,21.96,78,21.67,sellSignal
93,21.33,94,21.405,trailingTP
120,22.97,123,23.85,trailingTP
130,21.65,131,21.725,trailingTP
158,21.82,159,22.06,trailingTP
197,22.86,198,23.19,trailingTP
211,23.81,212,23.37,trailingTP
224,23.37,225,23.44,trailingTP
247,22.33,248,22.16,trailingTP
288,25.42,289,25.71,trailingTP
303,25.015,304,24.965,trailingTP
321,24.84,322,25.26,trailingTP
330,25.2,331,25.61,trailingTP
346,26.135,347,25.97,trailingTP
356,26.005,357,26.26,trailingTP
367,26.575,368,26.375,trailingTP
384,27.33,385,27.28,trailingTP
395,27.46,396,27.46,trailingTP
437,28.515,438,28.59,trailingTP
463,26.415,464,26.54,trailingTP
472,26.25,473,25.74,sellSignal
488,25.72,489,25.365,sellSignal
492,26.93,493,26.8,trailingTP
496,27.45,497,28.51,trailingTP
504,28.55,505,28.025,trailingTP
519,28.66,520,29.395,trailingTP
537,27.25,538,27.67,trailingTP
566,27.09,567,27.97,trailingTP
590,28.075,591,28.185,trailingTP
614,31.19,615,29.86,sellSignal
619,30.77,620,31.47,trailingTP
644,29.68,645,29.65,trailingTP
662,29.85,663,29.97,trailingTP
684,27.24,685,27.855,trailingTP
721,28.84,722,28.855,trailingTP
751,26.72,752,26.79,trailingTP
769,25.72,770,26.48,trailingTP
