entry_idx,entry_price,exit_idx,exit_price,reason
9,25.46,10,25.8,trailingTP
24,26.73,25,26.63,trailingTP
40,27.36,41,27.36,trailingTP
54,28.06,55,27.65,trailingTP
69,26.55,70,27.015,trailingTP
115,25.8,116,26.19,trailingTP
134,26.45,135,26.85,trailingTP
149,27.485,150,27.07,trailingTP
173,24.5,174,23.93,trailingTP
206,25.31,207,25.81,trailingTP
233,26.34,234,26.09,trailingTP
258,29.34,259,28.44,trailingTP
271,27.55,272,27.41,trailingTP
294,25.76,295,25.73,trailingTP
306,26.08,307,27.96,trailingTP
324,27.95,325,28.0,trailingTP
335,27.99,336,28.14,trailingTP
341,28.43,342,28.0,trailingTP
366,25.26,367,25.21,trailingTP
375,24.88,376,24.82,trailingTP
379,24.83,380,25.08,trailingTP
395,26.82,396,26.96,trailingTP
455,30.5,456,30.49,trailingTP
465,32.8,466,33.05,trailingTP
484,34.1,485,34.11,trailingTP
512,33.96,513,33.75,trailingTP
527,35.1,528,35.29,trailingTP
537,34.51,538,34.65,trailingTP
547,35.26,548,35.68,trailingTP
571,42.63,572,42.66,trailingTP
589,40.37,590,40.97,trailingTP
605,42.41,606,42.06,trailingTP
614,37.69,615,38.685,trailingTP
627,38.57,628,38.66,trailingTP
632,39.57,633,39.12,trailingTP
659,41.24,660,42.27,trailingTP
685,38.57,686,37.51,sellSignal
687,40.25,688,40.53,trailingTP
721,49.1,722,50.6,trailingTP
741,49.74,742,48.28,trailingTP
748,49.71,749,48.97,trailingTP
758,46.86,759,45.74,trailingTP
767,45.755,768,46.115,trailingTP
790,40.67,791,41.735,trailingTP
811,44.07,812,43.37,trailingTP
829,38.955,830,39.98,trailingTP
856,36.57,857,36.1,trailingTP
878,32.38,879,32.25,trailingTP
898,36.17,899,35.96,trailingTP
