entry_idx,entry_price,exit_idx,exit_price,reason
2,7.8,3,7.745,trailingTP
20,7.49,21,7.475,trailingTP
36,7.3,37,7.275,trailingTP
45,7.34,46,7.62,trailingTP
61,7.17,62,7.22,trailingTP
97,7.12,98,7.22,trailingTP
118,7.73,119,7.605,trailingTP
147,7.18,148,7.17,trailingTP
159,7.17,160,7.06,trailingTP
191,7.98,192,7.94,trailingTP
198,8.04,199,8.17,trailingTP
230,7.36,231,7.405,trailingTP
252,6.75,253,6.685,trailingTP
262,6.855,263,6.895,trailingTP
281,7.06,282,7.045,trailingTP
297,7.51,298,7.525,trailingTP
315,6.88,316,6.92,trailingTP
341,6.8,342,6.59,trailingTP
372,7.6,373,7.58,trailingTP
378,7.59,379,7.66,trailingTP
389,7.225,390,7.08,trailingTP
453,6.2,454,6.14,trailingTP
459,6.12,460,6.06,sellSignal
477,5.49,478,5.595,trailingTP
500,5.295,501,5.305,trailingTP
524,5.465,525,5.41,trailingTP
535,5.22,536,5.21,trailingTP
549,5.29,550,5.26,trailingTP
572,4.71,573,4.68,trailingTP
583,4.27,584,4.24,trailingTP
587,4.33,588,4.505,trailingTP
607,4.22,608,4.225,trailingTP
613,4.28,614,4.6,trailingTP
629,4.51,630,4.475,trailingTP
636,4.49,637,4.43,trailingTP
655,4.06,656,4.09,trailingTP
675,3.97,676,3.93,trailingTP
692,4.33,693,4.015,sellSignal
737,3.35,738,3.21,trailingTP
750,3.37,751,3.37,trailingTP
762,3.27,763,3.26,trailingTP
768,3.535,769,3.545,trailingTP
781,3.32,782,3.27,trailingTP
809,3.5,810,3.52,trailingTP
827,3.59,828,3.64,trailingTP
846,3.91,847,3.87,trailingTP
874,4.36,875,4.46,trailingTP
899,4.22,900,4.21,trailingTP
