entry_idx,entry_price,exit_idx,exit_price,reason
7,36.905,8,38.06,trailingTP
20,38.475,21,39.79,trailingTP
56,38.73,57,39.235,trailingTP
77,39.66,78,40.635,trailingTP
91,41.55,92,41.95,trailingTP
140,36.41,141,36.29,trailingTP
156,36.39,157,36.56,trailingTP
161,38.04,162,37.805,trailingTP
210,46.04,211,46.14,trailingTP
228,43.91,229,43.91,trailingTP
259,46.135,260,46.61,trailingTP
273,46.955,274,46.73,trailingTP
287,43.675,288,43.6,trailingTP
314,45.49,315,42.63,sellSignal
330,42.395,331,42.36,trailingTP
343,43.12,344,43.73,trailingTP
371,43.925,372,43.98,trailingTP
382,43.33,383,43.76,trailingTP
392,43.98,393,44.13,trailingTP
428,44.18,429,44.1,trailingTP
435,45.075,436,44.18,trailingTP
449,43.825,450,44.12,trailingTP
457,43.87,458,43.87,trailingTP
465,44.17,466,44.13,trailingTP
484,42.625,485,43.36,trailingTP
492,43.63,493,44.04,trailingTP
519,45.04,520,45.31,trailingTP
540,43.76,541,43.93,trailingTP
567,44.71,568,45.89,trailingTP
577,47.4,578,48.2,trailingTP
602,46.09,603,46.865,trailingTP
617,47.81,618,48.305,trailingTP
638,52.53,639,52.26,trailingTP
653,53.945,654,55.34,trailingTP
670,59.8,671,59.89,trailingTP
689,60.385,690,59.82,trailingTP
701,60.81,702,61.525,trailingTP
