entry_idx,entry_price,exit_idx,exit_price,reason
2,16.06,3,16.225,trailingTP
16,15.85,17,15.79,trailingTP
28,15.14,29,15.5,trailingTP
46,15.63,47,15.92,trailingTP
69,15.53,70,15.39,trailingTP
79,15.55,80,15.62,trailingTP
99,15.16,100,15.29,trailingTP
122,15.54,123,15.51,trailingTP
132,15.78,133,15.82,trailingTP
157,16.4,158,16.24,trailingTP
173,16.14,174,16.32,trailingTP
192,16.12,193,16.12,trailingTP
212,14.4,213,14.35,trailingTP
221,14.62,222,14.62,trailingTP
236,14.56,237,14.71,trailingTP
266,13.33,267,13.29,trailingTP
289,12.89,290,12.96,trailingTP
308,13.63,309,13.5,trailingTP
316,13.4,317,13.43,trailingTP
331,12.98,332,12.79,trailingTP
345,12.94,346,12.93,trailingTP
356,12.93,357,12.85,trailingTP
369,12.39,370,12.45,trailingTP
383,12.62,384,12.63,trailingTP
396,12.655,397,12.39,trailingTP
407,11.57,408,11.67,trailingTP
428,11.605,429,11.61,trailingTP
434,11.68,435,11.67,trailingTP
466,12.01,467,12.06,trailingTP
482,11.65,483,11.76,trailingTP
494,11.24,495,11.23,trailingTP
503,11.115,504,11.08,trailingTP
521,11.27,522,11.28,trailingTP
530,11.52,531,11.86,trailingTP
544,11.78,545,11.53,sellSignal
557,10.71,558,10.65,trailingTP
589,11.11,590,10.82,trailingTP
623,10.58,624,10.53,trailingTP
635,10.71,636,10.645,trailingTP
641,10.9,642,10.98,trailingTP
656,11.35,657,11.265,trailingTP
662,11.24,663,11.375,trailingTP
676,11.695,677,11.75,trailingTP
689,11.45,690,11.69,trailingTP
707,11.53,708,11.41,trailingTP
716,11.46,717,11.39,trailingTP
730,11.42,731,11.73,trailingTP
749,12.43,750,12.37,trailingTP
763,12.94,764,12.705,sellSignal
771,48.52,772,48.14,trailingTP
807,43.01,808,42.74,trailingTP
