entry_idx,entry_price,exit_idx,exit_price,reason
23,144.885,24,145.13,trailingTP
56,148.86,57,148.87,trailingTP
65,149.43,66,148.965,trailingTP
84,150.36,85,150.62,trailingTP
112,153.415,113,153.41,trailingTP
126,150.685,127,153.42,trailingTP
168,150.28,169,149.67,trailingTP
182,154.095,183,154.74,trailingTP
210,156.38,211,158.235,trailingTP
227,156.57,228,157.02,trailingTP
239,157.865,240,158.375,trailingTP
280,168.62,281,169.48,trailingTP
328,193.04,329,195.62,trailingTP
341,197.875,342,195.98,trailingTP
362,212.76,363,213.19,trailingTP
392,229.475,393,230.04,trailingTP
413,232.55,414,229.285,trailingTP
419,229.14,420,231.085,trailingTP
483,219.565,484,217.935,trailingTP
501,217.32,502,218.83,trailingTP
538,215.05,539,223.98,trailingTP
563,225.555,564,224.91,trailingTP
585,254.03,586,257.63,trailingTP
602,274.38,603,279.5,trailingTP
620,275.0,621,278.255,trailingTP
658,269.08,659,263.22,trailingTP
679,269.37,680,261.99,trailingTP
693,248.845,694,253.67,trailingTP
