entry_idx,entry_price,exit_idx,exit_price,reason
7,38.055,8,38.245,trailingTP
27,39.41,28,39.485,trailingTP
52,39.235,53,39.145,trailingTP
77,39.06,78,38.925,trailingTP
92,39.75,93,39.825,trailingTP
105,39.71,106,39.995,trailingTP
118,40.07,119,40.04,trailingTP
140,39.045,141,39.115,trailingTP
154,39.28,156,39.94,trailingTP
169,39.42,170,39.325,trailingTP
187,39.15,188,39.025,trailingTP
196,38.92,197,38.59,trailingTP
225,38.55,226,38.655,trailingTP
259,40.105,260,40.4,trailingTP
299,40.365,300,40.3,trailingTP
314,40.075,315,40.25,trailingTP
323,41.705,324,41.33,trailingTP
345,42.105,346,42.18,trailingTP
381,41.77,382,41.75,trailingTP
393,42.77,394,42.7,trailingTP
406,42.71,407,43.03,trailingTP
427,41.82,428,41.5,trailingTP
444,41.475,445,41.43,trailingTP
469,40.84,470,41.12,trailingTP
484,39.85,485,39.815,trailingTP
498,39.76,499,39.615,trailingTP
533,38.43,534,38.45,trailingTP
554,40.125,555,40.065,trailingTP
568,39.91,569,40.245,trailingTP
578,40.08,579,40.01,trailingTP
582,40.17,583,39.91,trailingTP
597,39.365,598,39.26,trailingTP
617,42.68,618,42.405,trailingTP
646,44.4,647,44.18,trailingTP
653,44.1,654,44.11,trailingTP
668,44.815,669,45.275,trailingTP
677,44.99,678,44.845,trailingTP
704,44.39,705,44.5,trailingTP
