entry_idx,entry_price,exit_idx,exit_price,reason
7,172.265,8,172.0,trailingTP
19,172.96,20,172.61,trailingTP
42,177.635,43,176.415,sellSignal
55,176.24,56,178.53,trailingTP
63,179.435,64,178.67,trailingTP
82,181.09,83,180.615,trailingTP
140,203.83,141,204.28,trailingTP
161,200.84,162,199.93,trailingTP
182,201.83,183,203.49,trailingTP
201,206.48,202,206.94,trailingTP
214,204.13,215,203.8,trailingTP
238,201.875,239,205.48,trailingTP
253,206.32,254,206.72,trailingTP
279,206.54,280,203.57,sellSignal
286,204.56,287,204.405,trailingTP
309,209.1,310,208.74,trailingTP
321,208.58,322,210.47,trailingTP
329,211.77,330,212.32,trailingTP
343,212.135,344,212.63,trailingTP
354,212.15,355,212.955,trailingTP
378,216.43,379,216.71,trailingTP
405,214.48,406,215.43,trailingTP
448,223.67,449,224.37,trailingTP
461,222.11,462,221.98,trailingTP
483,218.71,484,217.955,trailingTP
518,225.525,519,226.7,trailingTP
539,232.58,540,233.27,trailingTP
565,239.09,566,236.6,sellSignal
567,243.18,568,243.39,trailingTP
602,247.18,603,247.55,trailingTP
621,241.465,622,242.36,trailingTP
637,249.19,638,247.455,trailingTP
652,238.89,653,239.85,trailingTP
672,234.12,673,233.28,trailingTP
690,220.14,691,219.45,trailingTP
