entry_idx,entry_price,exit_idx,exit_price,reason
7,4.18,8,4.145,trailingTP
36,5.0,37,5.115,trailingTP
50,5.195,51,5.175,trailingTP
104,6.06,105,5.95,trailingTP
117,5.805,118,5.76,trailingTP
142,5.64,143,5.765,trailingTP
161,5.8,162,5.38,sellSignal
167,5.655,168,5.735,trailingTP
181,6.305,182,6.53,trailingTP
232,6.615,233,6.61,trailingTP
253,7.01,254,7.0,trailingTP
271,7.11,272,7.08,trailingTP
280,7.33,281,7.405,trailingTP
293,7.46,294,7.35,trailingTP
300,7.045,301,7.15,trailingTP
334,7.56,335,7.445,trailingTP
352,7.39,353,7.505,trailingTP
357,7.68,358,7.57,trailingTP
364,7.755,365,7.7,trailingTP
386,7.785,387,7.66,trailingTP
393,7.8,394,7.76,trailingTP
406,7.64,407,7.64,trailingTP
427,7.775,428,7.84,trailingTP
454,8.43,455,8.13,sellSignal
464,8.33,465,8.33,trailingTP
486,8.3,487,8.2,trailingTP
497,8.39,498,8.35,trailingTP
519,8.55,520,8.67,trailingTP
534,7.555,535,7.61,trailingTP
554,7.77,555,7.91,trailingTP
561,8.05,562,8.05,trailingTP
576,8.37,577,8.235,trailingTP
590,15.02,591,15.29,trailingTP
597,17.865,598,17.86,trailingTP
634,20.69,635,20.755,trailingTP
646,20.88,647,20.98,trailingTP
696,27.225,697,27.48,trailingTP
