entry_idx,entry_price,exit_idx,exit_price,reason
7,91.63,8,92.735,trailingTP
19,92.87,20,92.775,trailingTP
33,97.5,34,97.02,trailingTP
55,91.98,56,92.62,trailingTP
105,91.38,106,91.9,trailingTP
116,90.69,117,91.17,trailingTP
146,105.72,147,106.41,trailingTP
159,105.135,160,104.86,trailingTP
171,107.68,172,107.275,trailingTP
183,108.99,184,110.63,trailingTP
211,110.89,212,110.18,trailingTP
230,109.5,231,108.165,trailingTP
268,118.425,269,118.28,trailingTP
275,118.48,276,119.66,trailingTP
286,118.81,287,118.58,trailingTP
298,119.29,299,119.63,trailingTP
328,116.855,329,117.15,trailingTP
346,112.68,347,113.44,trailingTP
409,133.75,410,133.17,trailingTP
451,150.305,452,149.6,trailingTP
465,143.03,466,142.26,trailingTP
486,138.39,487,137.545,trailingTP
500,139.31,501,140.1,trailingTP
521,140.25,522,140.39,trailingTP
541,138.94,542,142.77,trailingTP
556,148.89,557,146.82,trailingTP
570,169.0,571,169.29,trailingTP
605,181.775,606,183.56,trailingTP
624,180.54,625,182.33,trailingTP
642,180.05,643,179.65,trailingTP
655,172.03,656,172.48,trailingTP
676,167.74,677,168.98,trailingTP
696,165.59,697,165.22,trailingTP
706,166.46,707,167.2,trailingTP
