entry_idx,entry_price,exit_idx,exit_price,reason
14,16.89,15,16.825,trailingTP
35,16.59,36,16.525,trailingTP
57,16.18,58,16.24,trailingTP
70,16.385,71,16.425,trailingTP
84,16.48,85,16.55,trailingTP
105,16.545,106,16.575,trailingTP
141,15.565,142,15.46,trailingTP
173,16.36,174,16.32,trailingTP
231,17.605,232,18.02,trailingTP
259,18.145,260,18.19,trailingTP
267,18.78,268,18.07,sellSignal
275,18.21,276,18.28,trailingTP
305,18.74,306,18.82,trailingTP
343,19.94,344,19.93,trailingTP
380,19.11,381,19.32,trailingTP
387,19.58,388,19.485,trailingTP
415,18.62,416,18.81,trailingTP
443,20.2,444,20.25,trailingTP
459,20.225,460,20.095,trailingTP
488,20.235,489,20.07,trailingTP
508,19.93,509,19.89,trailingTP
524,19.39,525,19.335,trailingTP
556,19.105,557,19.505,trailingTP
570,20.155,571,20.515,trailingTP
590,20.48,591,20.81,trailingTP
633,24.84,634,24.995,trailingTP
671,24.815,672,24.925,trailingTP
682,24.795,683,24.79,trailingTP
697,24.79,698,24.62,trailingTP
