entry_idx,entry_price,exit_idx,exit_price,reason
6,8.06,7,7.995,trailingTP
22,7.775,23,7.785,trailingTP
40,7.735,41,7.705,trailingTP
57,7.57,58,7.55,trailingTP
76,7.45,77,7.51,trailingTP
100,7.595,101,7.56,trailingTP
104,7.6,105,7.6,trailingTP
139,7.39,140,7.46,trailingTP
167,7.72,168,7.615,trailingTP
174,7.47,175,7.4,trailingTP
208,7.425,209,7.41,trailingTP
221,7.61,222,7.53,sellSignal
228,7.73,229,7.815,trailingTP
247,8.06,248,8.035,trailingTP
256,8.04,257,8.01,trailingTP
269,8.19,270,8.105,sellSignal
273,8.15,274,8.2,trailingTP
282,8.37,283,8.28,trailingTP
296,8.3,297,8.32,trailingTP
314,8.565,315,8.575,trailingTP
330,8.51,331,8.49,trailingTP
338,8.82,339,8.77,trailingTP
362,8.63,363,8.655,trailingTP
375,8.63,376,8.61,trailingTP
405,8.445,406,8.48,trailingTP
412,8.27,413,8.28,trailingTP
423,8.23,424,8.205,trailingTP
432,8.13,433,8.075,trailingTP
450,7.93,451,7.93,trailingTP
466,8.185,467,8.115,trailingTP
486,7.96,487,7.94,trailingTP
506,8.335,507,8.38,trailingTP
527,8.375,528,8.41,trailingTP
547,9.15,548,9.145,trailingTP
565,9.5,566,9.31,trailingTP
574,9.385,575,9.42,trailingTP
583,9.615,584,9.515,trailingTP
595,9.52,596,9.595,trailingTP
629,9.87,630,9.92,trailingTP
645,10.04,646,10.03,trailingTP
659,10.455,660,10.49,trailingTP
671,10.48,672,10.33,trailingTP
683,10.16,684,10.225,trailingTP
690,10.175,691,10.19,trailingTP
