entry_idx,entry_price,exit_idx,exit_price,reason
6,16.255,7,16.655,trailingTP
24,16.03,25,16.19,trailingTP
50,15.6,51,15.5,trailingTP
77,15.095,78,15.3,trailingTP
99,15.54,100,15.575,trailingTP
145,15.19,146,15.43,trailingTP
165,11.375,166,11.335,trailingTP
182,11.025,183,10.745,trailingTP
203,11.0,204,10.93,trailingTP
230,10.7,231,10.69,trailingTP
249,12.13,250,12.095,trailingTP
274,12.04,275,12.12,trailingTP
302,12.765,303,12.435,trailingTP
326,12.575,327,12.43,trailingTP
352,12.38,353,12.525,trailingTP
365,12.74,366,12.84,trailingTP
381,12.93,382,12.91,trailingTP
405,12.195,406,11.96,trailingTP
427,12.15,428,12.485,trailingTP
466,15.205,467,15.245,trailingTP
485,14.12,486,14.31,trailingTP
494,14.23,495,14.2,trailingTP
520,15.6,521,15.53,trailingTP
547,15.11,548,15.27,trailingTP
562,15.28,563,15.23,trailingTP
587,14.09,588,13.99,trailingTP
617,16.4,618,16.36,trailingTP
630,16.38,631,17.68,trailingTP
654,17.71,655,17.71,trailingTP
668,18.56,669,18.75,trailingTP
