entry_idx,entry_price,exit_idx,exit_price,reason
9,297.3,10,302.22,trailingTP
26,303.28,27,304.82,trailingTP
55,318.2,56,318.905,trailingTP
88,335.115,89,332.195,trailingTP
106,311.78,107,315.045,trailingTP
114,321.91,115,328.05,trailingTP
151,309.8,152,308.84,trailingTP
166,313.54,167,316.94,trailingTP
199,345.01,200,335.925,sellSignal
203,339.18,204,338.35,trailingTP
223,335.67,224,335.14,trailingTP
233,333.435,234,333.105,trailingTP
264,325.65,265,336.16,trailingTP
295,350.58,296,345.56,sellSignal
310,331.98,311,330.73,trailingTP
330,338.62,332,346.64,trailingTP
362,358.75,363,362.43,trailingTP
384,418.44,385,419.06,trailingTP
396,425.62,397,427.76,trailingTP
405,427.6,406,424.76,trailingTP
427,437.46,428,438.24,trailingTP
445,431.54,446,436.0,trailingTP
461,442.05,462,444.66,trailingTP
484,429.86,485,439.955,trailingTP
514,437.95,515,434.98,trailingTP
522,424.195,523,422.26,trailingTP
534,430.42,535,431.95,trailingTP
553,432.91,554,434.04,trailingTP
586,433.86,587,445.17,trailingTP
601,445.95,602,447.01,trailingTP
631,449.805,632,456.83,trailingTP
637,456.51,638,473.455,trailingTP
655,453.82,656,463.88,trailingTP
666,456.95,667,441.32,trailingTP
673,437.31,674,429.39,trailingTP
708,398.14,709,405.14,trailingTP
717,416.615,718,416.355,trailingTP
728,406.92,729,402.58,trailingTP
751,401.58,752,395.15,trailingTP
761,411.79,762,414.9,trailingTP
775,419.42,776,418.98,trailingTP
784,426.51,785,428.81,trailingTP
