entry_idx,entry_price,exit_idx,exit_price,reason
8,183.04,9,184.24,trailingTP
19,182.77,20,182.58,trailingTP
22,184.24,23,183.78,trailingTP
32,182.89,33,183.17,trailingTP
72,169.98,73,170.05,trailingTP
77,173.07,78,168.24,sellSignal
90,164.475,91,162.315,trailingTP
105,157.36,106,156.295,trailingTP
113,161.93,114,161.68,trailingTP
141,165.11,142,166.18,trailingTP
159,165.345,160,163.54,sellSignal
162,166.19,163,166.135,trailingTP
182,173.13,183,175.015,trailingTP
207,178.17,208,178.38,trailingTP
217,180.57,218,181.6,trailingTP
239,185.35,240,185.21,trailingTP
261,182.605,262,182.95,trailingTP
273,181.975,274,181.735,trailingTP
292,181.765,293,181.54,trailingTP
301,187.75,302,188.66,trailingTP
319,185.89,320,186.3,trailingTP
329,187.46,330,187.655,trailingTP
359,187.9,360,187.91,trailingTP
368,187.9,369,187.835,trailingTP
402,196.88,403,196.485,trailingTP
433,203.3,434,203.735,trailingTP
490,199.195,491,199.8,trailingTP
502,205.27,503,205.075,trailingTP
512,204.74,513,204.5,trailingTP
528,209.03,529,209.885,trailingTP
539,210.33,540,210.26,trailingTP
544,212.13,545,212.49,trailingTP
552,213.03,553,211.46,trailingTP
587,218.425,588,218.06,trailingTP
601,224.83,602,225.69,trailingTP
613,227.5,614,228.01,trailingTP
622,222.165,623,223.46,trailingTP
649,226.95,650,227.15,trailingTP
654,227.66,655,228.39,trailingTP
663,228.67,664,228.415,trailingTP
679,230.12,680,232.02,trailingTP
687,237.55,688,238.03,trailingTP
