entry_idx,entry_price,exit_idx,exit_price,reason
11,37.23,12,37.32,trailingTP
26,37.08,27,37.075,trailingTP
54,39.59,55,39.68,trailingTP
85,41.01,86,41.08,trailingTP
91,41.205,92,41.53,trailingTP
104,41.98,105,41.745,trailingTP
142,39.07,143,38.94,trailingTP
169,40.58,170,40.57,trailingTP
185,40.23,186,40.3,trailingTP
218,39.175,219,38.26,sellSignal
233,36.775,234,37.005,trailingTP
269,40.76,270,41.005,trailingTP
287,40.26,288,40.635,trailingTP
306,40.75,307,40.59,trailingTP
345,42.54,346,43.135,trailingTP
366,44.83,367,44.78,trailingTP
402,49.16,403,49.01,trailingTP
417,49.15,418,49.04,trailingTP
434,48.645,435,48.25,trailingTP
450,52.06,451,51.77,trailingTP
464,52.1,465,51.41,trailingTP
471,52.22,472,52.13,trailingTP
478,53.76,479,54.29,trailingTP
485,56.54,486,55.58,trailingTP
505,58.17,506,58.06,trailingTP
540,49.02,541,49.72,trailingTP
559,50.93,560,50.93,trailingTP
605,50.63,606,50.715,trailingTP
623,46.2,624,47.44,trailingTP
675,45.34,676,44.89,trailingTP
697,42.475,698,42.58,trailingTP
