entry_idx,entry_price,exit_idx,exit_price,reason
13,70.525,14,69.97,trailingTP
33,72.065,34,72.24,trailingTP
39,71.99,40,72.24,trailingTP
56,70.955,57,70.385,trailingTP
84,76.83,85,77.89,trailingTP
100,74.525,101,74.98,trailingTP
135,75.81,136,75.445,trailingTP
154,78.86,155,79.37,trailingTP
167,77.9,168,75.38,sellSignal
175,77.865,176,77.72,trailingTP
226,73.355,227,73.175,trailingTP
259,77.53,260,77.04,trailingTP
286,67.61,287,67.1,trailingTP
330,71.69,331,71.08,trailingTP
343,69.035,344,69.86,trailingTP
356,70.32,357,69.89,trailingTP
377,71.415,378,71.56,trailingTP
405,71.27,406,72.37,trailingTP
416,72.345,417,72.27,trailingTP
426,71.42,427,70.94,trailingTP
462,72.47,463,72.435,trailingTP
483,69.755,484,69.105,trailingTP
504,68.64,505,67.95,trailingTP
517,66.87,518,67.65,trailingTP
526,67.93,527,68.86,trailingTP
546,68.59,547,68.1,trailingTP
564,67.0,565,66.98,trailingTP
601,63.125,602,63.27,trailingTP
616,63.605,617,63.13,trailingTP
637,63.305,638,62.995,trailingTP
668,61.74,669,61.78,trailingTP
679,60.93,680,60.335,sellSignal
685,61.14,686,62.89,trailingTP
700,65.42,701,66.05,trailingTP
