entry_idx,entry_price,exit_idx,exit_price,reason
6,7.4,7,7.49,trailingTP
23,7.835,24,7.87,trailingTP
41,7.85,42,7.855,trailingTP
53,7.57,54,7.625,trailingTP
78,7.87,79,7.91,trailingTP
106,8.525,107,8.565,trailingTP
117,8.52,118,8.58,trailingTP
148,7.99,149,7.86,sellSignal
154,7.93,155,8.12,trailingTP
162,8.0,163,7.84,sellSignal
196,7.335,197,7.165,sellSignal
201,7.28,202,7.26,trailingTP
212,7.21,213,7.23,trailingTP
234,7.195,235,7.19,trailingTP
258,7.555,259,7.54,trailingTP
271,7.71,272,7.66,trailingTP
284,7.67,285,7.7,trailingTP
297,7.52,298,7.51,trailingTP
314,7.385,315,7.37,trailingTP
323,7.5,324,7.46,trailingTP
345,7.5,346,7.475,trailingTP
370,7.79,371,7.82,trailingTP
381,7.63,382,7.66,trailingTP
393,8.475,394,8.375,trailingTP
407,8.33,408,8.58,trailingTP
430,7.96,431,8.01,trailingTP
442,8.075,443,8.065,trailingTP
462,8.52,463,8.34,sellSignal
470,8.42,471,8.245,sellSignal
485,7.75,486,7.705,trailingTP
513,7.23,514,7.17,trailingTP
532,7.35,533,7.3,trailingTP
538,7.36,539,7.675,trailingTP
568,7.38,569,7.425,trailingTP
576,7.41,577,7.52,trailingTP
593,7.48,594,7.51,trailingTP
603,7.4,604,7.4,trailingTP
652,8.935,653,8.945,trailingTP
665,8.915,666,8.92,trailingTP
676,9.22,677,9.225,trailingTP
713,8.66,717,9.26,endClose
