entry_idx,entry_price,exit_idx,exit_price,reason
7,147.11,8,147.32,trailingTP
63,148.29,64,147.4,trailingTP
77,147.095,78,146.41,trailingTP
86,147.2,87,147.02,trailingTP
99,142.27,100,142.58,trailingTP
117,144.44,118,144.77,trailingTP
141,134.665,142,134.575,trailingTP
168,134.13,169,133.275,trailingTP
182,133.6,183,134.585,trailingTP
200,135.68,201,135.98,trailingTP
236,140.32,237,140.28,trailingTP
259,148.38,260,149.31,trailingTP
280,152.79,281,151.89,trailingTP
301,157.445,302,154.85,trailingTP
315,162.76,316,162.06,trailingTP
329,159.895,330,158.05,trailingTP
344,158.12,345,157.85,trailingTP
378,164.12,379,165.78,trailingTP
402,174.06,403,174.475,trailingTP
419,172.14,420,171.655,trailingTP
441,167.2,442,163.67,sellSignal
448,163.42,449,164.755,trailingTP
461,163.14,462,160.94,sellSignal
464,163.34,465,163.29,trailingTP
483,162.195,484,161.18,trailingTP
518,160.64,519,160.125,trailingTP
538,161.895,539,168.98,trailingTP
558,173.4,559,174.34,trailingTP
568,171.43,569,170.185,trailingTP
588,169.98,589,169.21,trailingTP
604,171.7,605,171.835,trailingTP
610,178.295,611,176.66,trailingTP
627,177.96,628,178.89,trailingTP
652,180.26,653,181.45,trailingTP
668,181.86,669,183.2,trailingTP
681,182.14,682,175.25,sellSignal
689,173.31,690,174.2,trailingTP
700,174.34,701,172.79,trailingTP
