entry_idx,entry_price,exit_idx,exit_price,reason
2,558.47,3,557.57,trailingTP
16,552.64,17,552.945,trailingTP
23,547.27,24,541.35,sellSignal
29,545.19,30,543.98,trailingTP
44,557.49,45,552.41,trailingTP
70,521.32,71,515.37,trailingTP
87,498.98,88,482.18,trailingTP
96,491.97,97,502.22,trailingTP
119,543.04,120,540.42,trailingTP
168,581.51,169,581.05,trailingTP
180,593.16,181,590.65,trailingTP
188,596.68,189,594.66,trailingTP
206,612.27,207,614.71,trailingTP
220,617.27,221,617.31,trailingTP
235,626.39,236,627.41,trailingTP
246,620.845,247,625.22,trailingTP
