entry_idx,entry_price,exit_idx,exit_price,reason
7,128.64,8,125.945,sellSignal
14,128.79,15,127.075,trailingTP
31,124.215,32,123.32,trailingTP
56,131.49,57,131.11,trailingTP
84,130.05,85,130.12,trailingTP
119,150.37,120,146.49,trailingTP
126,149.885,127,149.545,trailingTP
140,143.12,141,141.65,trailingTP
162,140.03,163,139.865,trailingTP
196,137.43,197,135.175,trailingTP
212,134.4,213,134.57,trailingTP
229,126.56,230,125.945,trailingTP
253,126.88,254,127.73,trailingTP
287,124.025,288,124.255,trailingTP
321,125.04,322,125.59,trailingTP
344,137.71,345,139.635,trailingTP
364,136.82,365,139.02,trailingTP
402,140.77,403,139.525,trailingTP
440,160.895,441,161.64,trailingTP
449,165.875,450,165.38,trailingTP
463,163.61,464,164.77,trailingTP
484,177.9,485,177.6,trailingTP
493,179.37,494,180.705,trailingTP
498,181.9,499,180.025,trailingTP
519,175.89,520,175.55,trailingTP
538,171.26,539,171.64,trailingTP
565,193.29,566,192.97,trailingTP
589,194.89,590,191.23,sellSignal
603,187.99,604,190.08,trailingTP
621,177.78,622,179.49,trailingTP
652,172.03,653,172.81,trailingTP
668,165.34,669,167.58,trailingTP
694,166.6,695,168.97,trailingTP
707,169.65,708,171.395,trailingTP
