entry_idx,entry_price,exit_idx,exit_price,reason
13,62.75,14,62.65,trailingTP
47,65.37,48,65.205,trailingTP
112,65.975,113,66.42,trailingTP
126,67.935,127,68.035,trailingTP
163,68.93,164,68.94,trailingTP
178,68.79,179,68.92,trailingTP
187,67.875,188,68.12,trailingTP
196,67.95,197,67.81,trailingTP
205,67.82,206,67.47,trailingTP
224,67.95,225,69.16,trailingTP
239,69.455,240,68.65,sellSignal
260,68.11,261,67.825,trailingTP
274,67.715,275,67.98,trailingTP
295,68.15,296,67.62,trailingTP
307,67.97,308,67.935,trailingTP
330,69.665,331,69.295,trailingTP
341,69.765,342,69.835,trailingTP
367,68.165,368,68.4,trailingTP
383,67.42,384,67.415,trailingTP
407,68.89,408,68.89,trailingTP
420,69.2,421,69.22,trailingTP
442,69.96,443,70.02,trailingTP
471,68.31,472,68.09,trailingTP
491,67.785,492,67.92,trailingTP
545,70.285,546,69.95,trailingTP
557,71.28,558,71.32,trailingTP
566,70.26,567,70.07,trailingTP
575,72.58,576,72.735,trailingTP
593,73.97,594,74.02,trailingTP
703,79.74,704,79.86,trailingTP
