entry_idx,entry_price,exit_idx,exit_price,reason
14,91.725,15,90.99,trailingTP
44,81.92,45,82.255,trailingTP
60,81.465,61,79.22,sellSignal
78,78.13,79,77.45,trailingTP
106,82.14,107,82.83,trailingTP
119,100.25,120,100.04,trailingTP
141,104.015,142,105.12,trailingTP
161,107.335,162,107.55,trailingTP
175,106.55,176,108.765,trailingTP
198,120.5,199,119.16,trailingTP
230,120.09,231,120.1,trailingTP
254,124.54,255,125.99,trailingTP
268,128.22,269,129.25,trailingTP
274,129.87,275,130.1,trailingTP
286,130.33,287,130.0,trailingTP
292,133.48,293,126.17,trailingTP
303,131.885,304,131.63,trailingTP
323,123.69,324,123.09,trailingTP
337,124.735,338,125.25,trailingTP
350,122.46,351,121.84,trailingTP
366,131.155,367,128.775,sellSignal
376,129.86,377,129.55,trailingTP
393,113.83,394,112.775,trailingTP
419,112.91,420,112.36,trailingTP
430,116.97,431,118.665,trailingTP
440,122.53,441,122.53,trailingTP
452,122.92,453,121.2,trailingTP
471,124.75,472,121.155,sellSignal
479,122.025,480,122.94,trailingTP
491,123.705,492,119.48,trailingTP
501,119.5,502,120.74,trailingTP
520,120.98,521,122.71,trailingTP
543,138.45,544,136.01,trailingTP
560,135.3,561,134.9,trailingTP
570,141.23,571,138.9,trailingTP
587,139.0,588,136.34,trailingTP
599,139.88,600,141.71,trailingTP
611,141.69,612,141.62,trailingTP
627,132.345,628,130.96,trailingTP
634,129.16,635,130.1,trailingTP
647,128.83,648,130.09,trailingTP
658,137.005,659,138.17,trailingTP
