entry_idx,entry_price,exit_idx,exit_price,reason
1,253.265,2,252.85,trailingTP
14,250.8,15,251.16,trailingTP
35,246.795,36,248.42,trailingTP
54,253.705,55,256.815,trailingTP
68,258.48,69,255.72,sellSignal
83,253.775,84,254.185,trailingTP
98,255.25,99,256.22,trailingTP
108,257.005,109,258.51,trailingTP
118,265.21,119,265.83,trailingTP
133,257.855,134,257.755,trailingTP
148,253.53,149,253.28,trailingTP
153,252.16,154,251.28,trailingTP
164,250.495,165,250.45,trailingTP
176,248.59,177,248.76,trailingTP
188,246.825,189,243.77,sellSignal
190,247.475,191,247.15,trailingTP
203,245.74,204,245.53,trailingTP
212,244.91,213,245.005,trailingTP
218,245.35,219,246.21,trailingTP
232,248.93,233,247.51,sellSignal
236,249.01,237,251.935,trailingTP
251,249.125,252,249.32,trailingTP
260,245.92,261,244.97,trailingTP
268,245.54,269,246.02,trailingTP
279,245.23,280,244.22,trailingTP
289,240.095,290,242.47,trailingTP
303,237.98,304,237.28,trailingTP
326,240.01,327,242.96,trailingTP
335,241.74,336,241.28,trailingTP
347,239.09,348,239.2,trailingTP
355,237.91,356,237.455,trailingTP
372,239.475,373,240.17,trailingTP
379,240.0,380,241.75,trailingTP
399,248.76,400,249.67,trailingTP
417,255.64,418,254.335,trailingTP
426,260.3,427,258.99,trailingTP
439,255.295,440,253.17,sellSignal
446,253.74,447,251.25,sellSignal
460,250.38,461,250.43,trailingTP
469,257.3,470,257.55,trailingTP
494,247.42,495,251.785,trailingTP
516,251.44,517,255.385,trailingTP
529,265.78,530,267.235,trailingTP
545,264.355,546,266.02,trailingTP
550,266.87,551,269.66,trailingTP
566,263.185,567,262.19,trailingTP
578,261.65,579,262.59,trailingTP
590,264.56,591,264.755,trailingTP
595,265.01,596,265.15,trailingTP
608,269.52,609,269.57,trailingTP
627,265.05,628,265.17,trailingTP
633,263.3,634,262.84,trailingTP
643,259.75,644,258.88,trailingTP
650,259.06,651,259.56,trailingTP
661,259.215,662,260.945,trailingTP
673,285.01,674,288.28,trailingTP
